"","Ano da eleição","UF","Turno","Cargo","Quantidade de abstenções","Quantidade de votos brancos","Quantidade de votos nulos","Quantidade de eleitores aptos","Alienação Absoluta","Alienação Percentual"
"1",1998,"AC",1,"Governador","79.357","25.886","18.067","318.955","123.310",38.66
"2",1998,"AL",1,"Governador","390.465","73.109","253.827","1.383.600","717.401",51.85
"3",1998,"AM",1,"Governador","398.436","62.428","88.792","1.368.084","549.656",40.18
"4",1998,"AP",1,"Governador","28.941","2.023","15.527","213.289","46.491",21.8
"5",1998,"AP",2,"Governador","34.623","0.581","3.283","213.289","38.487",18.04
"6",1998,"BA",1,"Governador","2.525.734","1.420.021","525.077","7.932.156","4.470.832",56.36
"7",1998,"CE",1,"Governador","1.1.036","560.499","237.737","4.301.105","1.799.272",41.83
"8",1998,"DF",1,"Governador","196.417","17.814","54.127","1.267.925","268.358",21.17
"9",1998,"DF",2,"Governador","203.003","6.810","18.836","1.267.925","228.649",18.03
"10",1998,"ES",1,"Governador","418.119","200.647","117.135","1.916.884","735.901",38.39
"11",1998,"GO",1,"Governador","607.001","259.223","134.018","2.948.532","1.0.242",33.92
"12",1998,"GO",2,"Governador","701.318","16.191","58.095","2.948.932","775.604",26.3
"13",1998,"MA",1,"Governador","927.211","377.993","157.817","2.986.755","1.463.021",48.98
"14",1998,"MG",1,"Governador","2.349.190","1.625.047","815.417","11.814.791","4.789.654",40.54
"15",1998,"MG",2,"Governador","2.824.585","149.559","494.929","11.815.183","3.469.073",29.36
"16",1998,"MS",1,"Governador","259.790","116.816","76.770","1.256.907","453.376",36.07
"17",1998,"MS",2,"Governador","321.627","9.503","31.271","1.256.907","362.401",28.83
"18",1998,"MT",1,"Governador","439.757","136.908","64.078","1.516.451","640.743",42.25
"19",1998,"PA",1,"Governador","1.71.362","226.617","184.192","3.218.566","1.482.171",46.05
"20",1998,"PA",2,"Governador","1.302.651","25.548","70.686","3.220.132","1.398.885",43.44
"21",1998,"PB",1,"Governador","547.654","374.347","213.743","2.223.259","1.135.744",51.08
"22",1998,"PE",1,"Governador","1.309.006","546.957","439.918","5.117.448","2.295.881",44.86
"23",1998,"PI",1,"Governador","434.557","236.622","94.738","1.781.150","765.917",43
"24",1998,"PI",2,"Governador","473.142","14.444","42.991","1.781.150","530.577",29.79
"25",1998,"PR",1,"Governador","1.348.511","678.964","466.319","6.384.210","2.493.794",39.06
"26",1998,"RJ",1,"Governador","849.215","146.400","438.925","4.324.894","1.434.540",33.17
"27",1998,"RJ",2,"Governador","2.268.906","83.868","272.595","9.971.830","2.625.369",26.33
"28",1998,"RN",1,"Governador","329.355","169.169","112.916","1.728.975","611.440",35.36
"29",1998,"RO",1,"Governador","250.775","85.724","41.361","836.179","377.860",45.19
"30",1998,"RO",2,"Governador","313.130","4.322","17.524","836.179","334.976",40.06
"31",1998,"RR",1,"Governador","36.897","1.852","10.034","170.620","48.783",28.59
"32",1998,"RR",2,"Governador","42.837","0.672","1.870","170.620","45.379",26.6
"33",1998,"RS",1,"Governador","1.23.119","543.222","281.068","6.846.077","1.847.409",26.98
"34",1998,"RS",2,"Governador","1.97.872","46.634","99.403","6.846.077","1.243.909",18.17
"35",1998,"SC",1,"Governador","573.108","328.593","188.303","3.516.811","1.90.004",30.99
"36",1998,"SE",1,"Governador","234.205","79.452","110.835","1.81.138","424.492",39.26
"37",1998,"SE",2,"Governador","264.014","9.742","44.403","1.81.138","318.159",29.43
"38",1998,"SP",1,"Governador","3.850.137","1.465.990","1.389.949","23.318.077","6.706.076",28.76
"39",1998,"SP",2,"Governador","4.146.967","381.905","1.91.311","23.321.034","5.620.183",24.1
"40",1998,"TO",1,"Governador","125.178","75.507","25.282","624.056","225.967",36.21
"41",1998,"AC",1,"Senador","79.357","22.676","21.273","318.955","123.306",38.66
"42",1998,"AL",1,"Senador","390.465","89.266","233.358","1.383.600","713.089",51.54
"43",1998,"AM",1,"Senador","398.436","80.457","76.795","1.368.084","555.688",40.62
"44",1998,"AP",1,"Senador","28.941","3.711","16.316","213.289","48.968",22.96
"45",1998,"BA",1,"Senador","2.525.734","969.294","910.099","7.932.156","4.405.127",55.54
"46",1998,"CE",1,"Senador","1.1.036","637.352","359.419","4.301.105","1.997.807",46.45
"47",1998,"DF",1,"Senador","196.417","32.646","72.780","1.267.925","301.843",23.81
"48",1998,"ES",1,"Senador","418.119","217.109","134.608","1.916.884","769.836",40.16
"49",1998,"GO",1,"Senador","607.001","278.147","221.840","2.948.532","1.106.988",37.54
