"","UF","NOME_MUNICIPIO"
"1","AC","Acrelândia"
"2","AC","Assis Brasil"
"3","AC","Brasiléia"
"4","AC","Bujari"
"5","AC","Capixaba"
"6","AC","Cruzeiro do Sul"
"7","AC","Epitaciolândia"
"8","AC","Feijó"
"9","AC","Jordão"
"10","AC","Mâncio Lima"
"11","AC","Manoel Urbano"
"12","AC","Marechal Thaumaturgo"
"13","AC","Plácido de Castro"
"14","AC","Porto Acre"
"15","AC","Porto Walter"
"16","AC","Rio Branco"
"17","AC","Rodrigues Alves"
"18","AC","Santa Rosa do Purus"
"19","AC","Sena Madureira"
"20","AC","Senador Guiomard"
"21","AC","Tarauacá"
"22","AC","Xapuri"
"23","AL","Água Branca"
"24","AL","Anadia"
"25","AL","Arapiraca"
"26","AL","Atalaia"
"27","AL","Barra de Santo Antônio"
"28","AL","Barra de São Miguel"
"29","AL","Batalha"
"30","AL","Belém"
"31","AL","Belo Monte"
"32","AL","Boca da Mata"
"33","AL","Branquinha"
"34","AL","Cacimbinhas"
"35","AL","Cajueiro"
"36","AL","Campestre"
"37","AL","Campo Alegre"
"38","AL","Campo Grande"
"39","AL","Canapi"
"40","AL","Capela"
"41","AL","Carneiros"
"42","AL","Chã Preta"
"43","AL","Coité do Nóia"
"44","AL","Colônia Leopoldina"
"45","AL","Coqueiro Seco"
"46","AL","Coruripe"
"47","AL","Craíbas"
"48","AL","Delmiro Gouveia"
"49","AL","Dois Riachos"
"50","AL","Estrela de Alagoas"
"51","AL","Feira Grande"
"52","AL","Feliz Deserto"
"53","AL","Flexeiras"
"54","AL","Girau do Ponciano"
"55","AL","Ibateguara"
"56","AL","Igaci"
"57","AL","Igreja Nova"
"58","AL","Inhapi"
"59","AL","Jacaré dos Homens"
"60","AL","Jacuípe"
"61","AL","Japaratinga"
"62","AL","Jaramataia"
"63","AL","Jequiá da Praia"
"64","AL","Joaquim Gomes"
"65","AL","Jundiá"
"66","AL","Junqueiro"
"67","AL","Lagoa da Canoa"
"68","AL","Limoeiro de Anadia"
"69","AL","Maceió"
"70","AL","Major Isidoro"
"71","AL","Mar Vermelho"
"72","AL","Maragogi"
"73","AL","Maravilha"
"74","AL","Marechal Deodoro"
"75","AL","Maribondo"
"76","AL","Mata Grande"
"77","AL","Matriz de Camaragibe"
"78","AL","Messias"
"79","AL","Minador do Negrão"
"80","AL","Monteirópolis"
"81","AL","Murici"
"82","AL","Novo Lino"
"83","AL","Olho d'Água das Flores"
"84","AL","Olho d'Água do Casado"
"85","AL","Olho d'Água Grande"
"86","AL","Olivença"
"87","AL","Ouro Branco"
"88","AL","Palestina"
"89","AL","Palmeira dos Índios"
"90","AL","Pão de Açúcar"
"91","AL","Pariconha"
"92","AL","Paripueira"
"93","AL","Passo de Camaragibe"
"94","AL","Paulo Jacinto"
"95","AL","Penedo"
"96","AL","Piaçabuçu"
"97","AL","Pilar"
"98","AL","Pindoba"
"99","AL","Piranhas"
"100","AL","Poço das Trincheiras"
"101","AL","Porto Calvo"
"102","AL","Porto de Pedras"
"103","AL","Porto Real do Colégio"
"104","AL","Quebrangulo"
"105","AL","Rio Largo"
"106","AL","Roteiro"
"107","AL","Santa Luzia do Norte"
"108","AL","Santana do Ipanema"
"109","AL","Santana do Mundaú"
"110","AL","São Brás"
"111","AL","São José da Laje"
"112","AL","São José da Tapera"
"113","AL","São Luís do Quitunde"
"114","AL","São Miguel dos Campos"
"115","AL","São Miguel dos Milagres"
"116","AL","São Sebastião"
"117","AL","Satuba"
"118","AL","Senador Rui Palmeira"
"119","AL","Tanque d'Arca"
"120","AL","Taquarana"
"121","AL","Teotônio Vilela"
"122","AL","Traipu"
"123","AL","União dos Palmares"
"124","AL","Viçosa"
"125","AM","Alvarães"
"126","AM","Amaturá"
"127","AM","Anamã"
"128","AM","Anori"
"129","AM","Apuí"
"130","AM","Atalaia do Norte"
"131","AM","Autazes"
"132","AM","Barcelos"
"133","AM","Barreirinha"
"134","AM","Benjamin Constant"
"135","AM","Beruri"
"136","AM","Boa Vista do Ramos"
"137","AM","Boca do Acre"
"138","AM","Borba"
"139","AM","Caapiranga"
"140","AM","Canutama"
"141","AM","Carauari"
"142","AM","Careiro"
"143","AM","Careiro da Várzea"
"144","AM","Coari"
"145","AM","Codajás"
"146","AM","Eirunepé"
"147","AM","Envira"
"148","AM","Fonte Boa"
"149","AM","Guajará"
"150","AM","Humaitá"
"151","AM","Ipixuna"
"152","AM","Iranduba"
"153","AM","Itacoatiara"
"154","AM","Itamarati"
"155","AM","Itapiranga"
"156","AM","Japurá"
"157","AM","Juruá"
"158","AM","Jutaí"
"159","AM","Lábrea"
"160","AM","Manacapuru"
"161","AM","Manaquiri"
"162","AM","Manaus"
"163","AM","Manicoré"
"164","AM","Maraã"
"165","AM","Maués"
"166","AM","Nhamundá"
"167","AM","Nova Olinda do Norte"
"168","AM","Novo Airão"
"169","AM","Novo Aripuanã"
"170","AM","Parintins"
"171","AM","Pauini"
"172","AM","Presidente Figueiredo"
"173","AM","Rio Preto da Eva"
"174","AM","Santa Isabel do Rio Negro"
"175","AM","Santo Antônio do Içá"
"176","AM","São Gabriel da Cachoeira"
"177","AM","São Paulo de Olivença"
"178","AM","São Sebastião do Uatumã"
"179","AM","Silves"
"180","AM","Tabatinga"
"181","AM","Tapauá"
"182","AM","Tefé"
"183","AM","Tonantins"
"184","AM","Uarini"
"185","AM","Urucará"
"186","AM","Urucurituba"
"187","AP","Amapá"
"188","AP","Calçoene"
"189","AP","Cutias"
"190","AP","Ferreira Gomes"
"191","AP","Itaubal"
"192","AP","Laranjal do Jari"
"193","AP","Macapá"
"194","AP","Mazagão"
"195","AP","Oiapoque"
"196","AP","Pedra Branca do Amapari"
"197","AP","Porto Grande"
"198","AP","Pracuúba"
"199","AP","Santana"
"200","AP","Serra do Navio"
"201","AP","Tartarugalzinho"
"202","AP","Vitória do Jari"
"203","BA","Abaíra"
"204","BA","Abaré"
"205","BA","Acajutiba"
"206","BA","Adustina"
"207","BA","Água Fria"
"208","BA","Aiquara"
"209","BA","Alagoinhas"
"210","BA","Alcobaça"
"211","BA","Almadina"
"212","BA","Amargosa"
"213","BA","Amélia Rodrigues"
"214","BA","América Dourada"
"215","BA","Anagé"
"216","BA","Andaraí"
"217","BA","Andorinha"
"218","BA","Angical"
"219","BA","Anguera"
"220","BA","Antas"
"221","BA","Antônio Cardoso"
"222","BA","Antônio Gonçalves"
"223","BA","Aporá"
"224","BA","Apuarema"
"225","BA","Araças"
"226","BA","Aracatu"
"227","BA","Araci"
"228","BA","Aramari"
"229","BA","Arataca"
"230","BA","Aratuípe"
"231","BA","Aurelino Leal"
"232","BA","Baianópolis"
"233","BA","Baixa Grande"
"234","BA","Banzaê"
"235","BA","Barra"
"236","BA","Barra da Estiva"
"237","BA","Barra do Choça"
"238","BA","Barra do Mendes"
"239","BA","Barra do Rocha"
"240","BA","Barreiras"
"241","BA","Barro Alto"
"242","BA","Barro Preto"
"243","BA","Barrocas"
"244","BA","Belmonte"
"245","BA","Belo Campo"
"246","BA","Biritinga"
"247","BA","Boa Nova"
"248","BA","Boa Vista do Tupim"
"249","BA","Bom Jesus da Lapa"
"250","BA","Bom Jesus da Serra"
"251","BA","Boninal"
"252","BA","Bonito"
"253","BA","Boquira"
"254","BA","Botuporã"
"255","BA","Brejões"
"256","BA","Brejolândia"
"257","BA","Brotas de Macaúbas"
"258","BA","Brumado"
"259","BA","Buerarema"
"260","BA","Buritirama"
"261","BA","Caatiba"
"262","BA","Cabaceiras do Paraguaçu"
"263","BA","Cachoeira"
"264","BA","Caculé"
"265","BA","Caém"
"266","BA","Caetanos"
"267","BA","Caetité"
"268","BA","Cafarnaum"
"269","BA","Cairu"
"270","BA","Caldeirão Grande"
"271","BA","Camacan"
"272","BA","Camaçari"
"273","BA","Camamu"
"274","BA","Campo Alegre de Lourdes"
"275","BA","Campo Formoso"
"276","BA","Canápolis"
"277","BA","Canarana"
"278","BA","Canavieiras"
"279","BA","Candeal"
"280","BA","Candeias"
"281","BA","Candiba"
"282","BA","Cândido Sales"
"283","BA","Cansanção"
"284","BA","Canudos"
"285","BA","Capela do Alto Alegre"
"286","BA","Capim Grosso"
"287","BA","Caraíbas"
"288","BA","Caravelas"
"289","BA","Cardeal da Silva"
"290","BA","Carinhanha"
"291","BA","Casa Nova"
"292","BA","Castro Alves"
"293","BA","Catolândia"
"294","BA","Catu"
"295","BA","Caturama"
"296","BA","Central"
"297","BA","Chorrochó"
"298","BA","Cícero Dantas"
"299","BA","Cipó"
"300","BA","Coaraci"
"301","BA","Cocos"
"302","BA","Conceição da Feira"
"303","BA","Conceição do Almeida"
"304","BA","Conceição do Coité"
"305","BA","Conceição do Jacuípe"
"306","BA","Conde"
"307","BA","Condeúba"
"308","BA","Contendas do Sincorá"
"309","BA","Coração de Maria"
"310","BA","Cordeiros"
"311","BA","Coribe"
"312","BA","Coronel João Sá"
"313","BA","Correntina"
"314","BA","Cotegipe"
"315","BA","Cravolândia"
"316","BA","Crisópolis"
"317","BA","Cristópolis"
"318","BA","Cruz das Almas"
"319","BA","Curaçá"
"320","BA","Dário Meira"
"321","BA","Dias d'Ávila"
"322","BA","Dom Basílio"
"323","BA","Dom Macedo Costa"
"324","BA","Elísio Medrado"
"325","BA","Encruzilhada"
"326","BA","Entre Rios"
"327","BA","Érico Cardoso"
"328","BA","Esplanada"
"329","BA","Euclides da Cunha"
"330","BA","Eunápolis"
"331","BA","Fátima"
"332","BA","Feira da Mata"
"333","BA","Feira de Santana"
"334","BA","Filadélfia"
"335","BA","Firmino Alves"
"336","BA","Floresta Azul"
"337","BA","Formosa do Rio Preto"
"338","BA","Gandu"
"339","BA","Gavião"
"340","BA","Gentio do Ouro"
"341","BA","Glória"
"342","BA","Gongogi"
"343","BA","Governador Mangabeira"
"344","BA","Guajeru"
"345","BA","Guanambi"
"346","BA","Guaratinga"
"347","BA","Heliópolis"
"348","BA","Iaçu"
"349","BA","Ibiassucê"
"350","BA","Ibicaraí"
"351","BA","Ibicoara"
"352","BA","Ibicuí"
"353","BA","Ibipeba"
"354","BA","Ibipitanga"
"355","BA","Ibiquera"
"356","BA","Ibirapitanga"
"357","BA","Ibirapuã"
"358","BA","Ibirataia"
"359","BA","Ibitiara"
"360","BA","Ibititá"
"361","BA","Ibotirama"
"362","BA","Ichu"
"363","BA","Igaporã"
"364","BA","Igrapiúna"
"365","BA","Iguaí"
"366","BA","Ilhéus"
"367","BA","Inhambupe"
"368","BA","Ipecaetá"
"369","BA","Ipiaú"
"370","BA","Ipirá"
"371","BA","Ipupiara"
"372","BA","Irajuba"
"373","BA","Iramaia"
"374","BA","Iraquara"
"375","BA","Irará"
"376","BA","Irecê"
"377","BA","Itabela"
"378","BA","Itaberaba"
"379","BA","Itabuna"
"380","BA","Itacaré"
"381","BA","Itaeté"
"382","BA","Itagi"
"383","BA","Itagibá"
"384","BA","Itagimirim"
"385","BA","Itaguaçu da Bahia"
"386","BA","Itaju do Colônia"
"387","BA","Itajuípe"
"388","BA","Itamaraju"
"389","BA","Itamari"
"390","BA","Itambé"
"391","BA","Itanagra"
"392","BA","Itanhém"
"393","BA","Itaparica"
"394","BA","Itapé"
"395","BA","Itapebi"
"396","BA","Itapetinga"
"397","BA","Itapicuru"
"398","BA","Itapitanga"
"399","BA","Itaquara"
"400","BA","Itarantim"
"401","BA","Itatim"
"402","BA","Itiruçu"
"403","BA","Itiúba"
"404","BA","Itororó"
"405","BA","Ituaçu"
"406","BA","Ituberá"
"407","BA","Iuiú"
"408","BA","Jaborandi"
"409","BA","Jacaraci"
"410","BA","Jacobina"
"411","BA","Jaguaquara"
"412","BA","Jaguarari"
"413","BA","Jaguaripe"
"414","BA","Jandaíra"
"415","BA","Jequié"
"416","BA","Jeremoabo"
"417","BA","Jiquiriçá"
"418","BA","Jitaúna"
"419","BA","João Dourado"
"420","BA","Juazeiro"
"421","BA","Jucuruçu"
"422","BA","Jussara"
"423","BA","Jussari"
"424","BA","Jussiape"
"425","BA","Lafaiete Coutinho"
"426","BA","Lagoa Real"
"427","BA","Laje"
"428","BA","Lajedão"
"429","BA","Lajedinho"
"430","BA","Lajedo do Tabocal"
"431","BA","Lamarão"
"432","BA","Lapão"
"433","BA","Lauro de Freitas"
