"","Ano da eleição","UF","Turno","Cargo","Quantidade de abstenções","Quantidade de votos brancos","Quantidade de votos nulos","Quantidade de eleitores aptos","Alienação Absoluta","Alienação Percentual"
"1",1998,"AC",1,"Deputado Estadual",79357,8560,11311,318955,"99.228",31.11
"2",1998,"AC",1,"Deputado Federal",79357,15242,14901,318955,"109.500",34.33
"3",1998,"AC",1,"Governador",79357,25886,18067,318955,"123.310",38.66
"4",1998,"AC",1,"Senador",79357,22676,21273,318955,"123.306",38.66
"5",1998,"AL",1,"Deputado Estadual",390465,64016,63457,1383600,"517.938",37.43
"6",1998,"AL",1,"Deputado Federal",390465,69792,64748,1383600,"525.005",37.94
"7",1998,"AL",1,"Governador",390465,73109,253827,1383600,"717.401",51.85
"8",1998,"AL",1,"Senador",390465,89266,233358,1383600,"713.089",51.54
"9",1998,"AM",1,"Deputado Estadual",398436,50646,46257,1368084,"495.339",36.21
"10",1998,"AM",1,"Deputado Federal",398436,60153,54110,1368084,"512.699",37.48
"11",1998,"AM",1,"Governador",398436,62428,88792,1368084,"549.656",40.18
"12",1998,"AM",1,"Senador",398436,80457,76795,1368084,"555.688",40.62
"13",1998,"AP",1,"Deputado Estadual",28941,2441,3776,213289,"35.158",16.48
"14",1998,"AP",1,"Deputado Federal",28941,3102,3844,213289,"35.887",16.83
"15",1998,"AP",1,"Governador",28941,2023,15527,213289,"46.491",21.8
"16",1998,"AP",1,"Senador",28941,3711,16316,213289,"48.968",22.96
"17",1998,"AP",2,"Governador",34623,581,3283,213289,"38.487",18.04
"18",1998,"BA",1,"Deputado Estadual",2525734,580349,641511,7932156,"3.747.594",47.25
"19",1998,"BA",1,"Deputado Federal",2525734,616324,636299,7932156,"3.778.357",47.63
"20",1998,"BA",1,"Governador",2525734,1420021,525077,7932156,"4.470.832",56.36
"21",1998,"BA",1,"Senador",2525734,969294,910099,7932156,"4.405.127",55.54
"22",1998,"CE",1,"Deputado Estadual",1001036,279486,290677,4301105,"1.571.199",36.53
"23",1998,"CE",1,"Deputado Federal",1001036,335883,303956,4301105,"1.640.875",38.15
"24",1998,"CE",1,"Governador",1001036,560499,237737,4301105,"1.799.272",41.83
"25",1998,"CE",1,"Senador",1001036,637352,359419,4301105,"1.997.807",46.45
"26",1998,"DF",1,"Deputado Estadual",196417,35007,26335,1267925,"257.759",20.33
"27",1998,"DF",1,"Deputado Federal",196417,41447,30325,1267925,"268.189",21.15
"28",1998,"DF",1,"Governador",196417,17814,54127,1267925,"268.358",21.17
"29",1998,"DF",1,"Senador",196417,32646,72780,1267925,"301.843",23.81
"30",1998,"DF",2,"Governador",203003,6810,18836,1267925,"228.649",18.03
"31",1998,"ES",1,"Deputado Estadual",418119,113642,100591,1916884,"632.352",32.99
"32",1998,"ES",1,"Deputado Federal",418119,165690,122157,1916884,"705.966",36.83
"33",1998,"ES",1,"Governador",418119,200647,117135,1916884,"735.901",38.39
"34",1998,"ES",1,"Senador",418119,217109,134608,1916884,"769.836",40.16
"35",1998,"GO",1,"Deputado Estadual",607001,182330,193868,2948532,"983.199",33.35
"36",1998,"GO",1,"Deputado Federal",607001,250301,237060,2948532,"1.94.362",37.12
"37",1998,"GO",1,"Governador",607001,259223,134018,2948532,"1.0.242",33.92
"38",1998,"GO",1,"Senador",607001,278147,221840,2948532,"1.106.988",37.54
"39",1998,"GO",2,"Governador",701318,16191,58095,2948932,"775.604",26.3
"40",1998,"MA",1,"Deputado Estadual",927211,151803,171378,2986755,"1.250.392",41.86
"41",1998,"MA",1,"Deputado Federal",927211,289085,217899,2986755,"1.434.195",48.02
"42",1998,"MA",1,"Governador",927211,377993,157817,2986755,"1.463.021",48.98
"43",1998,"MA",1,"Senador",927211,515669,258310,2986755,"1.701.190",56.96
"44",1998,"MG",1,"Deputado Estadual",2349190,1054392,990570,11814791,"4.394.152",37.19
"45",1998,"MG",1,"Deputado Federal",2349190,1186031,1056802,11814791,"4.592.023",38.87
"46",1998,"MG",1,"Governador",2349190,1625047,815417,11814791,"4.789.654",40.54
"47",1998,"MG",1,"Senador",2349190,1830028,1364054,11814791,"5.543.272",46.92
"48",1998,"MG",2,"Governador",2824585,149559,494929,11815183,"3.469.073",29.36
"49",1998,"MS",1,"Deputado Estadual",259790,69553,85184,1256907,"414.527",32.98
"50",1998,"MS",1,"Deputado Federal",259790,98828,100418,1256907,"459.036",36.52
"51",1998,"MS",1,"Governador",259790,116816,76770,1256907,"453.376",36.07
"52",1998,"MS",1,"Senador",259790,150722,101812,1256907,"512.324",40.76
"53",1998,"MS",2,"Governador",321627,9503,31271,1256907,"362.401",28.83
"54",1998,"MT",1,"Deputado Estadual",439757,79364,109952,1516451,"629.073",41.48
"55",1998,"MT",1,"Deputado Federal",439757,121322,134178,1516451,"695.257",45.85
"56",1998,"MT",1,"Governador",439757,136908,64078,1516451,"640.743",42.25
"57",1998,"MT",1,"Senador",439757,130982,99711,1516451,"670.450",44.21
"58",1998,"PA",1,"Deputado Estadual",1071362,158437,150788,3218566,"1.380.587",42.89
"59",1998,"PA",1,"Deputado Federal",1071362,230197,194589,3218566,"1.496.148",46.48
"60",1998,"PA",1,"Governador",1071362,226617,184192,3218566,"1.482.171",46.05
"61",1998,"PA",1,"Senador",1071362,303144,188341,3218566,"1.562.847",48.56
"62",1998,"PA",2,"Governador",1302651,25548,70686,3220132,"1.398.885",43.44
"63",1998,"PB",1,"Deputado Estadual",547654,164483,227070,2223259,"939.207",42.24
"64",1998,"PB",1,"Deputado Federal",547654,226939,260023,2223259,"1.34.616",46.54
"65",1998,"PB",1,"Governador",547654,374347,213743,2223259,"1.135.744",51.08
"66",1998,"PB",1,"Senador",547654,334841,247112,2223259,"1.129.607",50.81
"67",1998,"PE",1,"Deputado Estadual",1309006,456514,379454,5117448,"2.144.974",41.91
"68",1998,"PE",1,"Deputado Federal",1309006,512703,405625,5117448,"2.227.334",43.52
"69",1998,"PE",1,"Governador",1309006,546957,439918,5117448,"2.295.881",44.86
"70",1998,"PE",1,"Senador",1309006,781602,498331,5117448,"2.588.939",50.59
"71",1998,"PI",1,"Deputado Estadual",434557,121994,136995,1781150,"693.546",38.94
"72",1998,"PI",1,"Deputado Federal",434557,183668,174872,1781150,"793.097",44.53
"73",1998,"PI",1,"Governador",434557,236622,94738,1781150,"765.917",43
"74",1998,"PI",1,"Senador",434557,284620,126218,1781150,"845.395",47.46
"75",1998,"PI",2,"Governador",473142,14444,42991,1781150,"530.577",29.79
"76",1998,"PR",1,"Deputado Estadual",1348511,404670,517892,6384210,"2.271.073",35.57
"77",1998,"PR",1,"Deputado Federal",1348511,477238,581296,6384210,"2.407.045",37.7
"78",1998,"PR",1,"Governador",1348511,678964,466319,6384210,"2.493.794",39.06
"79",1998,"PR",1,"Senador",1348511,640222,507731,6384210,"2.496.464",39.1
"80",1998,"RJ",1,"Deputado Estadual",849657,176061,175271,4327550,"1.200.989",27.75
