"","ANO_ELEICAO","UF","VOTOS_VALIDOS_UF"
"1",1998,"AC",219824
"2",1998,"AL",865662
"3",1998,"AM",872906
"4",1998,"AP",178131
"5",1998,"BA",4184862
"6",1998,"CE",2730197
"7",1998,"DF",1010166
"8",1998,"ES",1284944
"9",1998,"GO",1965696
"10",1998,"MA",1738041
"11",1998,"MG",7420794
"12",1998,"MS",842458
"13",1998,"MT",887645
"14",1998,"PA",1838109
"15",1998,"PB",1284155
"16",1998,"PE",2972569
"17",1998,"PI",1087914
"18",1998,"PR",4113321
"19",1998,"RJ",3124155
"20",1998,"RN",1122947
"21",1998,"RO",507676
"22",1998,"RR",128779
"23",1998,"RS",5022268
"24",1998,"SC",2495191
"25",1998,"SE",691987
"26",1998,"SP",15753106
"27",1998,"TO",430497
"28",2002,"AC",279077
"29",2002,"AL",1172429
"30",2002,"AM",1151970
"31",2002,"AP",242218
"32",2002,"BA",5899004
"33",2002,"CE",3606697
"34",2002,"DF",1231237
"35",2002,"ES",1666094
"36",2002,"GO",2629510
"37",2002,"MA",2418223
"38",2002,"MG",9590311
"39",2002,"MS",1096897
"40",2002,"MT",1278020
"41",2002,"PA",2655726
"42",2002,"PB",1732828
"43",2002,"PE",3810689
"44",2002,"PI",1462102
"45",2002,"PR",5191016
"46",2002,"RJ",8105345
"47",2002,"RN",1462663
"48",2002,"RO",660718
"49",2002,"RR",170922
"50",2002,"RS",5950259
"51",2002,"SC",3102309
"52",2002,"SE",876324
"53",2002,"SP",19584946
"54",2002,"TO",593139
"55",2006,"AC",322706
"56",2006,"AL",1391216
"57",2006,"AM",1400905
"58",2006,"AP",301806
"59",2006,"BA",6534812
"60",2006,"CE",4115623
"61",2006,"DF",1342068
"62",2006,"ES",1797056
"63",2006,"GO",2875780
"64",2006,"MA",2929413
"65",2006,"MG",9839631
"66",2006,"MS",1222758
"67",2006,"MT",1454818
"68",2006,"PA",3149960
"69",2006,"PB",1963214
"70",2006,"PE",4232715
"71",2006,"PI",1624427
"72",2006,"PR",5418634
"73",2006,"RJ",8215140
"74",2006,"RN",1648411
"75",2006,"RO",742926
"76",2006,"RR",193699
"77",2006,"RS",6012764
"78",2006,"SC",3287303
"79",2006,"SE",1030771
"80",2006,"SP",20767203
"81",2006,"TO",695156
"82",2010,"AC",351973
"83",2010,"AL",1459821
"84",2010,"AM",1554221
"85",2010,"AP",348593
"86",2010,"BA",6828320
"87",2010,"CE",4361884
"88",2010,"DF",1440686
"89",2010,"ES",1928070
"90",2010,"GO",3098584
"91",2010,"MA",3109244
"92",2010,"MG",10565648
"93",2010,"MS",1309775
"94",2010,"MT",1561673
"95",2010,"PA",3578653
"96",2010,"PB",2033162
"97",2010,"PE",4566255
"98",2010,"PI",1715211
"99",2010,"PR",5785384
"100",2010,"RJ",8432678
"101",2010,"RN",1726587
"102",2010,"RO",806626
"103",2010,"RR",228046
"104",2010,"RS",6248768
"105",2010,"SC",3552836
"106",2010,"SE",1086504
"107",2010,"SP",22137130
"108",2010,"TO",741894
"109",2014,"AC",405600
"110",2014,"AL",1430572
"111",2014,"AM",1688879
"112",2014,"AP",393212
"113",2014,"BA",6898203
"114",2014,"CE",4485160
"115",2014,"DF",1532365
"116",2014,"ES",1927162
"117",2014,"GO",3141419
"118",2014,"MA",3200329
"119",2014,"MG",10415757
"120",2014,"MS",1320210
"121",2014,"MT",1522619
"122",2014,"PA",3813698
"123",2014,"PB",2023454
"124",2014,"PE",4606557
"125",2014,"PI",1775108
"126",2014,"PR",5799845
"127",2014,"RJ",8066100
"128",2014,"RN",1661456
"129",2014,"RO",824632
"130",2014,"RR",253691
"131",2014,"RS",6109354
"132",2014,"SC",3564458
"133",2014,"SE",1086077
"134",2014,"SP",21141804
"135",2014,"TO",757041
"136",2018,"AC",428535
"137",2018,"AL",1501786
"138",2018,"AM",1808860
"139",2018,"AP",410850
"140",2018,"BA",6996000
"141",2018,"CE",4610074
"142",2018,"DF",1525179
"143",2018,"ES",1965436
"144",2018,"GO",3090571
"145",2018,"MA",3330396
"146",2018,"MG",10181090
"147",2018,"MS",1311967
"148",2018,"MT",1557303
"149",2018,"PA",4050185
"150",2018,"PB",2073579
"151",2018,"PE",4527518
"152",2018,"PI",1821244
"153",2018,"PR",5711780
"154",2018,"RJ",7916487
"155",2018,"RN",1693637
"156",2018,"RO",835787
"157",2018,"RR",277142
"158",2018,"RS",5886245
"159",2018,"SC",3682909
"160",2018,"SE",1091529
"161",2018,"SP",21000593
"162",2018,"TO",748718
