"","ANO_ELEICAO","UF","SIGLA_PARTIDO","VOT_PART_UF"
"1",1998,"AC","PC do B",1712
"2",1998,"AC","PDT",10053
"3",1998,"AC","PFL",72987
"4",1998,"AC","PL",1358
"5",1998,"AC","PMDB",29755
"6",1998,"AC","PMN",1210
"7",1998,"AC","PPB",29472
"8",1998,"AC","PPS",533
"9",1998,"AC","PRONA",931
"10",1998,"AC","PSB",890
"11",1998,"AC","PSDB",12017
"12",1998,"AC","PSL",40
"13",1998,"AC","PSTU",58
"14",1998,"AC","PT",47880
"15",1998,"AC","PT do B",328
"16",1998,"AC","PTB",238
"17",1998,"AC","PV",90
"18",1998,"AL","PAN",352
"19",1998,"AL","PC do B",13621
"20",1998,"AL","PDT",28821
"21",1998,"AL","PFL",81822
"22",1998,"AL","PGT",225
"23",1998,"AL","PL",3530
"24",1998,"AL","PMDB",123223
"25",1998,"AL","PMN",70702
"26",1998,"AL","PPB",44740
"27",1998,"AL","PPS",32255
"28",1998,"AL","PRN",3843
"29",1998,"AL","PRONA",1796
"30",1998,"AL","PRP",2761
"31",1998,"AL","PRTB",229
"32",1998,"AL","PSB",104173
"33",1998,"AL","PSC",268
"34",1998,"AL","PSD",66172
"35",1998,"AL","PSDB",159426
"36",1998,"AL","PSN",3831
"37",1998,"AL","PST",360
"38",1998,"AL","PSTU",1294
"39",1998,"AL","PT",54907
"40",1998,"AL","PT do B",718
"41",1998,"AL","PTB",57652
"42",1998,"AL","PTN",1249
"43",1998,"AL","PV",625
"44",1998,"AM","PC do B",69148
"45",1998,"AM","PDT",4415
"46",1998,"AM","PFL",362505
"47",1998,"AM","PL",72744
"48",1998,"AM","PMDB",9870
"49",1998,"AM","PMN",6014
"50",1998,"AM","PPB",72800
"51",1998,"AM","PPS",3445
"52",1998,"AM","PRONA",1420
"53",1998,"AM","PSB",3568
"54",1998,"AM","PSDB",110639
"55",1998,"AM","PSL",46099
"56",1998,"AM","PSTU",730
"57",1998,"AM","PT",20981
"58",1998,"AM","PT do B",674
"59",1998,"AM","PTB",70494
"60",1998,"AP","PAN",1606
"61",1998,"AP","PC do B",2735
"62",1998,"AP","PDT",19946
"63",1998,"AP","PFL",33186
"64",1998,"AP","PL",3212
"65",1998,"AP","PMDB",25332
"66",1998,"AP","PMN",36
"67",1998,"AP","PPB",12069
"68",1998,"AP","PPS",1348
"69",1998,"AP","PRONA",95
"70",1998,"AP","PRP",674
"71",1998,"AP","PSB",21106
"72",1998,"AP","PSC",1019
"73",1998,"AP","PSD",6727
