"","ANO_ELEICAO","UF","VOTOS_VALIDOS_UF"
"1",1998,"AC",209552
"2",1998,"AL",858595
"3",1998,"AM",855546
"4",1998,"AP",177402
"5",1998,"BA",4154099
"6",1998,"CE",2660521
"7",1998,"DF",999736
"8",1998,"ES",1211330
"9",1998,"GO",1854533
"10",1998,"MA",1554238
"11",1998,"MG",7222923
"12",1998,"MS",797949
"13",1998,"MT",821461
"14",1998,"PA",1722548
"15",1998,"PB",1188746
"16",1998,"PE",2890209
"17",1998,"PI",988363
"18",1998,"PR",3977349
"19",1998,"RJ",3105700
"20",1998,"RN",1039422
"21",1998,"RO",459773
"22",1998,"RR",126284
"23",1998,"RS",4851130
"24",1998,"SC",2340115
"25",1998,"SE",619741
"26",1998,"SP",15612113
"27",1998,"TO",413174
"28",2002,"AC",278774
"29",2002,"AL",1167264
"30",2002,"AM",1148892
"31",2002,"AP",241159
"32",2002,"BA",5956160
"33",2002,"CE",3628331
"34",2002,"DF",1220775
"35",2002,"ES",1653126
"36",2002,"GO",2615375
"37",2002,"MA",2427405
"38",2002,"MG",9620326
"39",2002,"MS",1095465
"40",2002,"MT",1270734
"41",2002,"PA",2666113
"42",2002,"PB",1726648
"43",2002,"PE",3819059
"44",2002,"PI",1472161
"45",2002,"PR",5148135
"46",2002,"RJ",8071533
"47",2002,"RN",1460689
"48",2002,"RO",658957
"49",2002,"RR",168972
"50",2002,"RS",5944357
"51",2002,"SC",3072176
"52",2002,"SE",866676
"53",2002,"SP",19633949
"54",2002,"TO",590002
"55",2006,"AC",319523
"56",2006,"AL",1389603
"57",2006,"AM",1394386
"58",2006,"AP",299310
"59",2006,"BA",6571881
"60",2006,"CE",4126927
"61",2006,"DF",1319934
"62",2006,"ES",1770245
"63",2006,"GO",2851510
"64",2006,"MA",2920907
"65",2006,"MG",9805068
"66",2006,"MS",1207748
"67",2006,"MT",1437281
"68",2006,"PA",3139343
"69",2006,"PB",1938614
"70",2006,"PE",4200614
"71",2006,"PI",1617198
"72",2006,"PR",5372565
"73",2006,"RJ",8092119
"74",2006,"RN",1625122
"75",2006,"RO",731178
"76",2006,"RR",191033
"77",2006,"RS",5967382
"78",2006,"SC",3219746
"79",2006,"SE",1017150
"80",2006,"SP",20928984
"81",2006,"TO",691789
"82",2010,"AC",346126
"83",2010,"AL",1418409
"84",2010,"AM",1543293
"85",2010,"AP",345531
"86",2010,"BA",6706987
"87",2010,"CE",4262686
"88",2010,"DF",1409779
"89",2010,"ES",1886395
"90",2010,"GO",2992451
"91",2010,"MA",3046812
"92",2010,"MG",10438874
"93",2010,"MS",1284091
"94",2010,"MT",1523627
"95",2010,"PA",3517664
"96",2010,"PB",1954271
"97",2010,"PE",4461109
"98",2010,"PI",1677661
"99",2010,"PR",5730704
"100",2010,"RJ",8195029
"101",2010,"RN",1661121
"102",2010,"RO",792605
"103",2010,"RR",225751
"104",2010,"RS",6202037
"105",2010,"SC",3472076
"106",2010,"SE",1045878
"107",2010,"SP",22269779
"108",2010,"TO",728652
"109",2014,"AC",399201
"110",2014,"AL",1384607
"111",2014,"AM",1660482
"112",2014,"AP",386899
"113",2014,"BA",6717971
"114",2014,"CE",4369572
"115",2014,"DF",1456317
"116",2014,"ES",1855931
"117",2014,"GO",3037991
"118",2014,"MA",3143899
"119",2014,"MG",10173978
"120",2014,"MS",1277661
"121",2014,"MT",1464534
"122",2014,"PA",3759159
"123",2014,"PB",1939299
"124",2014,"PE",4489539
"125",2014,"PI",1736237
"126",2014,"PR",5705366
"127",2014,"RJ",7800135
"128",2014,"RN",1582853
"129",2014,"RO",798475
"130",2014,"RR",246869
"131",2014,"RS",5945131
"132",2014,"SC",3398998
"133",2014,"SE",1052841
"134",2014,"SP",21415023
"135",2014,"TO",733636
"136",2018,"AC",425120
"137",2018,"AL",1463546
"138",2018,"AM",1779335
"139",2018,"AP",404020
"140",2018,"BA",7006595
"141",2018,"CE",4605390
"142",2018,"DF",1465618
"143",2018,"ES",1936448
"144",2018,"GO",3037853
"145",2018,"MA",3301261
"146",2018,"MG",10113945
"147",2018,"MS",1298206
"148",2018,"MT",1516393
"149",2018,"PA",3964983
"150",2018,"PB",1999914
"151",2018,"PE",4335551
"152",2018,"PI",1795332
"153",2018,"PR",5748203
"154",2018,"RJ",7885178
"155",2018,"RN",1626217
"156",2018,"RO",818837
"157",2018,"RR",273288
"158",2018,"RS",5862052
"159",2018,"SC",3620443
"160",2018,"SE",1054156
"161",2018,"SP",21298473
"162",2018,"TO",717468
