"","UF","CARGO","VAGAS"
"1","AC","DEPUTADO ESTADUAL","24"
"2","AL","DEPUTADO ESTADUAL","27"
"3","AM","DEPUTADO ESTADUAL","24"
"4","AP","DEPUTADO ESTADUAL","24"
"5","BA","DEPUTADO ESTADUAL","63"
"6","CE","DEPUTADO ESTADUAL","46"
"7","DF","DEPUTADO DISTRITAL","24"
"8","ES","DEPUTADO ESTADUAL","30"
"9","GO","DEPUTADO ESTADUAL","41"
"10","MA","DEPUTADO ESTADUAL","42"
"11","MG","DEPUTADO ESTADUAL","77"
"12","MS","DEPUTADO ESTADUAL","24"
"13","MT","DEPUTADO ESTADUAL","24"
"14","PA","DEPUTADO ESTADUAL","41"
"15","PB","DEPUTADO ESTADUAL","36"
"16","PE","DEPUTADO ESTADUAL","49"
"17","PI","DEPUTADO ESTADUAL","30"
"18","PR","DEPUTADO ESTADUAL","54"
"19","RJ","DEPUTADO ESTADUAL","70"
"20","RN","DEPUTADO ESTADUAL","24"
"21","RO","DEPUTADO ESTADUAL","24"
"22","RR","DEPUTADO ESTADUAL","24"
"23","RS","DEPUTADO ESTADUAL","55"
"24","SC","DEPUTADO ESTADUAL","40"
"25","SE","DEPUTADO ESTADUAL","24"
"26","SP","DEPUTADO ESTADUAL","94"
"27","TO","DEPUTADO ESTADUAL","24"
