"","ANO_ELEICAO","UF","COD_MUN_TSE","NOME_MUNICIPIO","CARGO","VAGAS"
"1","2000","AC","1120","ACRELANDIA","VEREADOR","9"
"2","2000","AC","1570","ASSIS BRASIL","VEREADOR","9"
"3","2000","AC","1058","BRASILEIA","VEREADOR","9"
"4","2000","AC","1007","BUJARI","VEREADOR","9"
"5","2000","AC","1015","CAPIXABA","VEREADOR","9"
"6","2000","AC","1074","CRUZEIRO DO SUL","VEREADOR","11"
"7","2000","AC","1112","EPITACIOLANDIA","VEREADOR","9"
"8","2000","AC","1139","FEIJO","VEREADOR","9"
"9","2000","AC","1104","JORDAO","VEREADOR","9"
"10","2000","AC","1090","MANCIO LIMA","VEREADOR","9"
"11","2000","AC","1554","MANUEL URBANO","VEREADOR","9"
"12","2000","AC","1040","MARECHAL THAUMATURGO","VEREADOR","9"
"13","2000","AC","1511","PLACIDO DE CASTRO","VEREADOR","9"
"14","2000","AC","1023","PORTO ACRE","VEREADOR","9"
"15","2000","AC","1066","PORTO WALTER","VEREADOR","9"
"16","2000","AC","1392","RIO BRANCO","VEREADOR","18"
"17","2000","AC","1082","RODRIGUES ALVES","VEREADOR","9"
"18","2000","AC","1031","SANTA ROSA","VEREADOR","9"
"19","2000","AC","1457","SENA MADUREIRA","VEREADOR","9"
"20","2000","AC","1538","SENADOR GUIOMARD","VEREADOR","9"
"21","2000","AC","1473","TARAUACA","VEREADOR","9"
"22","2000","AC","1490","XAPURI","VEREADOR","9"
"23","2000","AL","27014","AGUA BRANCA","VEREADOR","11"
"24","2000","AL","27030","ANADIA","VEREADOR","9"
"25","2000","AL","27057","ARAPIRACA","VEREADOR","15"
"26","2000","AL","27073","ATALAIA","VEREADOR","15"
"27","2000","AL","27090","BARRA DE SANTO ANTONIO","VEREADOR","9"
"28","2000","AL","27111","BARRA DE SAO MIGUEL","VEREADOR","9"
"29","2000","AL","27138","BATALHA","VEREADOR","9"
"30","2000","AL","27154","BELEM","VEREADOR","9"
"31","2000","AL","27170","BELO MONTE","VEREADOR","9"
"32","2000","AL","27197","BOCA DA MATA","VEREADOR","12"
"33","2000","AL","27219","BRANQUINHA","VEREADOR","9"
"34","2000","AL","27235","CACIMBINHAS","VEREADOR","9"
"35","2000","AL","27251","CAJUEIRO","VEREADOR","9"
