"","ANO_ELEICAO","DESCRICAO_CARGO","SIGLA_PARTIDO","UF","Cadeiras conquistadas"
"1",1998,"DEPUTADO ESTADUAL","PC do B","AC",1
"2",1998,"DEPUTADO ESTADUAL","PC do B","AM",1
"3",1998,"DEPUTADO ESTADUAL","PC do B","BA",1
"4",1998,"DEPUTADO ESTADUAL","PC do B","CE",1
"5",1998,"DEPUTADO ESTADUAL","PC do B","GO",1
"6",1998,"DEPUTADO ESTADUAL","PC do B","PA",1
"7",1998,"DEPUTADO ESTADUAL","PC do B","PE",1
"8",1998,"DEPUTADO ESTADUAL","PC do B","RJ",1
"9",1998,"DEPUTADO ESTADUAL","PC do B","SP",2
"10",1998,"DEPUTADO ESTADUAL","PDT","AP",4
"11",1998,"DEPUTADO ESTADUAL","PDT","BA",1
"12",1998,"DEPUTADO ESTADUAL","PDT","CE",2
"13",1998,"DEPUTADO ESTADUAL","PDT","ES",2
"14",1998,"DEPUTADO ESTADUAL","PDT","GO",1
"15",1998,"DEPUTADO ESTADUAL","PDT","MA",3
"16",1998,"DEPUTADO ESTADUAL","PDT","MG",8
"17",1998,"DEPUTADO ESTADUAL","PDT","MS",3
"18",1998,"DEPUTADO ESTADUAL","PDT","PA",3
"19",1998,"DEPUTADO ESTADUAL","PDT","PB",2
"20",1998,"DEPUTADO ESTADUAL","PDT","PE",1
"21",1998,"DEPUTADO ESTADUAL","PDT","PI",2
"22",1998,"DEPUTADO ESTADUAL","PDT","PR",3
"23",1998,"DEPUTADO ESTADUAL","PDT","RJ",9
"24",1998,"DEPUTADO ESTADUAL","PDT","RN",1
"25",1998,"DEPUTADO ESTADUAL","PDT","RO",4
"26",1998,"DEPUTADO ESTADUAL","PDT","RR",5
"27",1998,"DEPUTADO ESTADUAL","PDT","RS",7
"28",1998,"DEPUTADO ESTADUAL","PDT","SC",2
"29",1998,"DEPUTADO ESTADUAL","PDT","SE",1
"30",1998,"DEPUTADO ESTADUAL","PDT","SP",7
"31",1998,"DEPUTADO ESTADUAL","PFL","AC",3
