"","Ano da eleição","Cargo","Turno","Quantidade de eleitores aptos","Quantidade de abstenções","Percentual de abstenções","Quantidade de votos brancos","Percentual de votos brancos","Quantidade de votos nulos","Percentual de votos nulos","Alienação absoluta","Alienação percentual"
"1",1998,"Governador",1,"100.396.894","21.604.533","21,52","9.837.830","9,8","6.555.972","6,53","37.998.335","37,85"
"2",1998,"Governador",2,"64.730.396","13.994.675","21,62","749.779","1,16","2.247.197","3,47","16.991.651","26,25"
"3",1998,"Senador",1,"100.397.416","21.604.670","21,52","11.054.780","11,01","9.086.960","9,05","41.746.410","41,58"
"4",1998,"Deputado Federal",1,"100.400.100","21.605.006","21,52","8.282.617","8,25","7.803.033","7,77","37.690.656","37,54"
"5",1998,"Deputado Estadual",1,"1.267.925","196.417","15,49","35.007","2,76","26.335","2,08","257.759","20,33"
"6",1998,"Deputado Estadual",1,"99.131.625","21.408.558","21,6","6.882.829","6,94","7.080.530","7,14","35.371.917","35,68"
"7",2002,"Presidente",1,"115.166.810","20.412.809","17,72","2.872.952","2,49","6.963.944","6,05","30.249.705","26,27"
"8",2002,"Presidente",2,"115.181.825","23.554.619","20,45","1.726.992","1,5","3.771.236","3,27","29.052.847","25,22"
"9",2002,"Governador",1,"115.166.810","20.412.809","17,72","3.765.240","3,27","6.740.066","5,85","30.918.115","26,85"
"10",2002,"Governador",2,"61.562.278","10.995.339","17,86","832.284","1,35","2.098.989","3,41","13.926.612","22,62"
"11",2002,"Senador",1,"115.166.810","20.412.809","17,72","13.316.519","11,56","22.448.638","19,49","56.177.966","48,78"
"12",2002,"Deputado Federal",1,"115.167.305","20.413.017","17,72","4.476.862","3,89","2.650.805","2,3","27.540.684","23,91"
"13",2002,"Deputado Estadual",1,"113.650.212","20.179.297","17,76","4.383.492","3,86","2.696.873","2,37","27.259.662","23,99"
"14",2002,"Deputado Estadual",1,"1.517.093","233.720","15,41","31.191","2,06","18.651","1,23","283.562","18,69"
"15",2006,"Presidente",1,"125.826.156","21.047.789","16,73","2.864.942","2,28","5.930.123","4,71","29.842.854","23,72"
"16",2006,"Presidente",2,"125.826.154","23.869.237","18,97","1.350.463","1,07","4.807.094","3,82","30.026.794","23,86"
