"","Ano da eleição","UF","Cargo","Turno","Quantidade de eleitores aptos","Quantidade de abstenções","Percentual de abstenções","Quantidade de votos brancos","Percentual de votos brancos","Quantidade de votos nulos","Percentual de votos nulos","Alienação absoluta","Alienação percentual"
"1","1998","AC","Deputado Estadual","1","318.955","79.357","24,88","8.560"," 2,68","11.311"," 3,55","99.228","31,11"
"2","1998","AC","Deputado Federal","1","318.955","79.357","24,88","15.242"," 4,78","14.901"," 4,67","109.500","34,33"
"3","1998","AC","Governador","1","318.955","79.357","24,88","25.886"," 8,12","18.067"," 5,66","123.310","38,66"
"4","1998","AC","Senador","1","318.955","79.357","24,88","22.676"," 7,11","21.273"," 6,67","123.306","38,66"
"5","1998","AL","Deputado Estadual","1","1.383.600","390.465","28,22","64.016"," 4,63","63.457"," 4,59","517.938","37,43"
"6","1998","AL","Deputado Federal","1","1.383.600","390.465","28,22","69.792"," 5,04","64.748"," 4,68","525.005","37,94"
"7","1998","AL","Governador","1","1.383.600","390.465","28,22","73.109"," 5,28","253.827","18,35","717.401","51,85"
"8","1998","AL","Senador","1","1.383.600","390.465","28,22","89.266"," 6,45","233.358","16,87","713.089","51,54"
"9","1998","AM","Deputado Estadual","1","1.368.084","398.436","29,12","50.646"," 3,70","46.257"," 3,38","495.339","36,21"
"10","1998","AM","Deputado Federal","1","1.368.084","398.436","29,12","60.153"," 4,40","54.110"," 3,96","512.699","37,48"
"11","1998","AM","Governador","1","1.368.084","398.436","29,12","62.428"," 4,56","88.792"," 6,49","549.656","40,18"
"12","1998","AM","Senador","1","1.368.084","398.436","29,12","80.457"," 5,88","76.795"," 5,61","555.688","40,62"
"13","1998","AP","Deputado Estadual","1","213.289","28.941","13,57","2.441"," 1,14","3.776"," 1,77","35.158","16,48"
"14","1998","AP","Deputado Federal","1","213.289","28.941","13,57","3.102"," 1,45","3.844"," 1,80","35.887","16,83"
"15","1998","AP","Governador","1","213.289","28.941","13,57","2.023"," 0,95","15.527"," 7,28","46.491","21,80"
"16","1998","AP","Senador","1","213.289","28.941","13,57","3.711"," 1,74","16.316"," 7,65","48.968","22,96"
"17","1998","AP","Governador","2","213.289","34.623","16,23","581"," 0,27","3.283"," 1,54","38.487","18,04"
"18","1998","BA","Deputado Estadual","1","7.932.156","2.525.734","31,84","580.349"," 7,32","641.511"," 8,09","3.747.594","47,25"
"19","1998","BA","Deputado Federal","1","7.932.156","2.525.734","31,84","616.324"," 7,77","636.299"," 8,02","3.778.357","47,63"
"20","1998","BA","Governador","1","7.932.156","2.525.734","31,84","1.420.021","17,90","525.077"," 6,62","4.470.832","56,36"
"21","1998","BA","Senador","1","7.932.156","2.525.734","31,84","969.294","12,22","910.099","11,47","4.405.127","55,54"
"22","1998","CE","Deputado Estadual","1","4.301.105","1.001.036","23,27","279.486"," 6,50","290.677"," 6,76","1.571.199","36,53"
"23","1998","CE","Deputado Federal","1","4.301.105","1.001.036","23,27","335.883"," 7,81","303.956"," 7,07","1.640.875","38,15"
"24","1998","CE","Governador","1","4.301.105","1.001.036","23,27","560.499","13,03","237.737"," 5,53","1.799.272","41,83"
"25","1998","CE","Senador","1","4.301.105","1.001.036","23,27","637.352","14,82","359.419"," 8,36","1.997.807","46,45"
"26","1998","DF","Deputado Estadual","1","1.267.925","196.417","15,49","35.007"," 2,76","26.335"," 2,08","257.759","20,33"
"27","1998","DF","Deputado Federal","1","1.267.925","196.417","15,49","41.447"," 3,27","30.325"," 2,39","268.189","21,15"
"28","1998","DF","Governador","1","1.267.925","196.417","15,49","17.814"," 1,40","54.127"," 4,27","268.358","21,17"
"29","1998","DF","Senador","1","1.267.925","196.417","15,49","32.646"," 2,57","72.780"," 5,74","301.843","23,81"
"30","1998","DF","Governador","2","1.267.925","203.003","16,01","6.810"," 0,54","18.836"," 1,49","228.649","18,03"
"31","1998","ES","Deputado Estadual","1","1.916.884","418.119","21,81","113.642"," 5,93","100.591"," 5,25","632.352","32,99"
"32","1998","ES","Deputado Federal","1","1.916.884","418.119","21,81","165.690"," 8,64","122.157"," 6,37","705.966","36,83"
"33","1998","ES","Governador","1","1.916.884","418.119","21,81","200.647","10,47","117.135"," 6,11","735.901","38,39"
"34","1998","ES","Senador","1","1.916.884","418.119","21,81","217.109","11,33","134.608"," 7,02","769.836","40,16"
"35","1998","GO","Deputado Estadual","1","2.948.532","607.001","20,59","182.330"," 6,18","193.868"," 6,58","983.199","33,35"
"36","1998","GO","Deputado Federal","1","2.948.532","607.001","20,59","250.301"," 8,49","237.060"," 8,04","1.094.362","37,12"
"37","1998","GO","Governador","1","2.948.532","607.001","20,59","259.223"," 8,79","134.018"," 4,55","1.000.242","33,92"
"38","1998","GO","Senador","1","2.948.532","607.001","20,59","278.147"," 9,43","221.840"," 7,52","1.106.988","37,54"
"39","1998","GO","Governador","2","2.948.932","701.318","23,78","16.191"," 0,55","58.095"," 1,97","775.604","26,30"
"40","1998","MA","Deputado Estadual","1","2.986.755","927.211","31,04","151.803"," 5,08","171.378"," 5,74","1.250.392","41,86"
"41","1998","MA","Deputado Federal","1","2.986.755","927.211","31,04","289.085"," 9,68","217.899"," 7,30","1.434.195","48,02"
"42","1998","MA","Governador","1","2.986.755","927.211","31,04","377.993","12,66","157.817"," 5,28","1.463.021","48,98"
"43","1998","MA","Senador","1","2.986.755","927.211","31,04","515.669","17,27","258.310"," 8,65","1.701.190","56,96"
"44","1998","MG","Deputado Estadual","1","11.814.791","2.349.190","19,88","1.054.392"," 8,92","990.570"," 8,38","4.394.152","37,19"
"45","1998","MG","Deputado Federal","1","11.814.791","2.349.190","19,88","1.186.031","10,04","1.056.802"," 8,94","4.592.023","38,87"
