"","Ano da eleição","UF","Cargo","Quantidade de abstenções","Quantidade de votos brancos","Quantidade de votos nulos","Quantidade de eleitores aptos","Alienação Absoluta","Alienação Percentual"
"1",1998,"AC","Deputado Estadual",79357,8560,11311,318955,"99.228",31.11
"2",1998,"AL","Deputado Estadual",390465,64016,63457,1383600,"517.938",37.43
"3",1998,"AM","Deputado Estadual",398436,50646,46257,1368084,"495.339",36.21
"4",1998,"AP","Deputado Estadual",28941,2441,3776,213289,"35.158",16.48
"5",1998,"BA","Deputado Estadual",2525734,580349,641511,7932156,"3.747.594",47.25
"6",1998,"CE","Deputado Estadual",1001036,279486,290677,4301105,"1.571.199",36.53
"7",1998,"DF","Deputado Estadual",196417,35007,26335,1267925,"257.759",20.33
"8",1998,"ES","Deputado Estadual",418119,113642,100591,1916884,"632.352",32.99
"9",1998,"GO","Deputado Estadual",607001,182330,193868,2948532,"983.199",33.35
"10",1998,"MA","Deputado Estadual",927211,151803,171378,2986755,"1.250.392",41.86
"11",1998,"MG","Deputado Estadual",2349190,1054392,990570,11814791,"4.394.152",37.19
"12",1998,"MS","Deputado Estadual",259790,69553,85184,1256907,"414.527",32.98
"13",1998,"MT","Deputado Estadual",439757,79364,109952,1516451,"629.073",41.48
"14",1998,"PA","Deputado Estadual",1071362,158437,150788,3218566,"1.380.587",42.89
"15",1998,"PB","Deputado Estadual",547654,164483,227070,2223259,"939.207",42.24
"16",1998,"PE","Deputado Estadual",1309006,456514,379454,5117448,"2.144.974",41.91
"17",1998,"PI","Deputado Estadual",434557,121994,136995,1781150,"693.546",38.94
"18",1998,"PR","Deputado Estadual",1348511,404670,517892,6384210,"2.271.073",35.57
"19",1998,"RJ","Deputado Estadual",849657,176061,175271,4327550,"1.200.989",27.75
"20",1998,"RN","Deputado Estadual",329355,128387,148579,1728975,"606.321",35.07
"21",1998,"RO","Deputado Estadual",250775,34464,43489,836179,"328.728",39.31
"22",1998,"RR","Deputado Estadual",36897,2420,2524,170620,"41.841",24.52
"23",1998,"RS","Deputado Estadual",1023119,434397,366692,6846077,"1.824.208",26.65
"24",1998,"SC","Deputado Estadual",573108,189557,259294,3516811,"1.21.959",29.06
"25",1998,"SE","Deputado Estadual",234205,67186,88150,1081138,"389.541",36.03
"26",1998,"SP","Deputado Estadual",3850137,1875077,1839797,23318077,"7.565.011",32.44
"27",1998,"TO","Deputado Estadual",125178,32600,36003,624056,"193.781",31.05
"28",2002,"AC","Deputado Estadual",79355,4079,7275,369786,"90.709",24.53
"29",2002,"AL","Deputado Estadual",338349,45709,41959,1598446,"426.017",26.65
"30",2002,"AM","Deputado Estadual",331920,23198,16067,1523155,"371.185",24.37
"31",2002,"AP","Deputado Estadual",42260,2401,3222,290101,"47.883",16.51
"32",2002,"BA","Deputado Estadual",2168026,265322,234976,8567328,"2.668.324",31.15
"33",2002,"CE","Deputado Estadual",945130,136054,117378,4805259,"1.198.562",24.94
"34",2002,"DF","Deputado Estadual",233720,31191,18651,1517093,"283.562",18.69
"35",2002,"ES","Deputado Estadual",378376,66531,35424,2146425,"480.331",22.38
"36",2002,"GO","Deputado Estadual",573047,101123,62168,3365848,"736.338",21.88
"37",2002,"MA","Deputado Estadual",812057,82713,74769,3388659,"969.539",28.61
"38",2002,"MG","Deputado Estadual",2166453,562969,360617,12680350,"3.90.039",24.37
"39",2002,"MS","Deputado Estadual",254258,37281,23337,1411773,"314.876",22.3
"40",2002,"MT","Deputado Estadual",383062,41277,26344,1728703,"450.683",26.07
"41",2002,"PA","Deputado Estadual",792307,69523,51323,3569096,"913.153",25.58
"42",2002,"PB","Deputado Estadual",416561,107251,65428,2322068,"589.240",25.38
"43",2002,"PE","Deputado Estadual",1150444,301717,133817,5396667,"1.585.978",29.39
"44",2002,"PI","Deputado Estadual",291659,47222,47309,1848292,"386.190",20.89
"45",2002,"PR","Deputado Estadual",1077980,268853,125350,6663199,"1.472.183",22.09
"46",2002,"RJ","Deputado Estadual",1499487,339808,267145,10211785,"2.106.440",20.63
"47",2002,"RN","Deputado Estadual",337519,70418,46782,1917382,"454.719",23.72
"48",2002,"RO","Deputado Estadual",189096,19524,13207,882545,"221.827",25.13
"49",2002,"RR","Deputado Estadual",33314,1891,2397,208524,"37.602",18.03
"50",2002,"RS","Deputado Estadual",955166,339050,107664,7352139,"1.401.880",19.07
"51",2002,"SC","Deputado Estadual",516405,134416,64844,3817974,"715.665",18.74
"52",2002,"SE","Deputado Estadual",198741,42615,30253,1147933,"271.609",23.66
"53",2002,"SP","Deputado Estadual",4086503,1258842,721087,25651378,"6.66.432",23.65
"54",2002,"TO","Deputado Estadual",161822,13705,16731,785397,"192.258",24.48
"55",2006,"AC","Deputado Estadual",78422,4993,6719,412840,"90.134",21.83
"56",2006,"AL","Deputado Estadual",345737,72436,50098,1859487,"468.271",25.18
"57",2006,"AM","Deputado Estadual",316270,42641,21430,1781246,"380.341",21.35
"58",2006,"AP","Deputado Estadual",51487,3473,3848,360614,"58.808",16.31
"59",2006,"BA","Deputado Estadual",1884249,416426,273866,9109353,"2.574.541",28.26
"60",2006,"CE","Deputado Estadual",932013,183674,130271,5361581,"1.245.958",23.24
"61",2006,"DF","Deputado Estadual",229750,46152,37080,1655050,"312.982",18.91
"62",2006,"ES","Deputado Estadual",393284,102648,43145,2336133,"539.077",23.08
"63",2006,"GO","Deputado Estadual",640034,135231,83140,3734185,"858.405",22.99
"64",2006,"MA","Deputado Estadual",817074,96739,77048,3920274,"990.861",25.28
"65",2006,"MG","Deputado Estadual",2447143,851291,541673,13679738,"3.840.107",28.07
"66",2006,"MS","Deputado Estadual",272233,41537,24653,1561181,"338.423",21.68
"67",2006,"MT","Deputado Estadual",390654,59902,34896,1940270,"485.452",25.02
"68",2006,"PA","Deputado Estadual",824039,115258,68397,4157654,"1.7.694",24.24
"69",2006,"PB","Deputado Estadual",419613,118898,72041,2573766,"610.552",23.72
"70",2006,"PE","Deputado Estadual",1064542,385734,151521,5834512,"1.601.797",27.45
"71",2006,"PI","Deputado Estadual",334856,60149,54072,2073504,"449.077",21.66
"72",2006,"PR","Deputado Estadual",1153861,356556,192206,7121257,"1.702.623",23.91
"73",2006,"RJ","Deputado Estadual",1635603,543992,496558,10891293,"2.676.153",24.57
"74",2006,"RN","Deputado Estadual",311232,83803,57698,2101144,"452.733",21.55
"75",2006,"RO","Deputado Estadual",202715,26312,16678,988631,"245.705",24.85
"76",2006,"RR","Deputado Estadual",34356,2716,2825,233596,"39.897",17.08
"77",2006,"RS","Deputado Estadual",1073755,466748,197316,7750583,"1.737.819",22.42
"78",2006,"SC","Deputado Estadual",580322,183028,117842,4168495,"881.192",21.14
"79",2006,"SE","Deputado Estadual",188227,46940,33847,1299785,"269.014",20.7
"80",2006,"SP","Deputado Estadual",4265677,1808982,1195394,28037256,"7.270.053",25.93
"81",2006,"TO","Deputado Estadual",160647,12454,14471,882728,"187.572",21.25
"82",2010,"AC","Deputado Estadual",106975,4856,6741,470545,"118.572",25.2
"83",2010,"AL","Deputado Estadual",449639,75269,48754,2033483,"573.662",28.21
"84",2010,"AM","Deputado Estadual",405988,41046,26121,2027377,"473.155",23.34
"85",2010,"AP","Deputado Estadual",62539,4497,4702,420331,"71.738",17.07
"86",2010,"BA","Deputado Estadual",2057603,385945,272124,9543992,"2.715.672",28.45
"87",2010,"CE","Deputado Estadual",1178631,215192,122359,5878066,"1.516.182",25.79
"88",2010,"DF","Deputado Estadual",283177,62661,47418,1833942,"393.256",21.44
"89",2010,"ES","Deputado Estadual",438946,105166,49809,2521991,"593.921",23.55
"90",2010,"GO","Deputado Estadual",729276,146663,84389,4058912,"960.328",23.66
"91",2010,"MA","Deputado Estadual",1035648,103367,72489,4320748,"1.211.504",28.04
"92",2010,"MG","Deputado Estadual",2675492,806679,466115,14513934,"3.948.286",27.2
"93",2010,"MS","Deputado Estadual",308448,50255,32434,1700912,"391.137",23
