"","Ano da eleição","UF","Cargo","Quantidade de abstenções","Quantidade de votos brancos","Quantidade de votos nulos","Quantidade de eleitores aptos","Alienação Absoluta","Alienação Percentual"
"1",1998,"AC","Deputado Federal",79357,15242,14901,318955,"109.500",34.33
"2",1998,"AL","Deputado Federal",390465,69792,64748,1383600,"525.005",37.94
"3",1998,"AM","Deputado Federal",398436,60153,54110,1368084,"512.699",37.48
"4",1998,"AP","Deputado Federal",28941,3102,3844,213289,"35.887",16.83
"5",1998,"BA","Deputado Federal",2525734,616324,636299,7932156,"3.778.357",47.63
"6",1998,"CE","Deputado Federal",1001036,335883,303956,4301105,"1.640.875",38.15
"7",1998,"DF","Deputado Federal",196417,41447,30325,1267925,"268.189",21.15
"8",1998,"ES","Deputado Federal",418119,165690,122157,1916884,"705.966",36.83
"9",1998,"GO","Deputado Federal",607001,250301,237060,2948532,"1.94.362",37.12
"10",1998,"MA","Deputado Federal",927211,289085,217899,2986755,"1.434.195",48.02
"11",1998,"MG","Deputado Federal",2349190,1186031,1056802,11814791,"4.592.023",38.87
"12",1998,"MS","Deputado Federal",259790,98828,100418,1256907,"459.036",36.52
"13",1998,"MT","Deputado Federal",439757,121322,134178,1516451,"695.257",45.85
"14",1998,"PA","Deputado Federal",1071362,230197,194589,3218566,"1.496.148",46.48
"15",1998,"PB","Deputado Federal",547654,226939,260023,2223259,"1.34.616",46.54
"16",1998,"PE","Deputado Federal",1309006,512703,405625,5117448,"2.227.334",43.52
"17",1998,"PI","Deputado Federal",434557,183668,174872,1781150,"793.097",44.53
"18",1998,"PR","Deputado Federal",1348511,477238,581296,6384210,"2.407.045",37.7
"19",1998,"RJ","Deputado Federal",849688,183202,186086,4328100,"1.218.976",28.16
"20",1998,"RN","Deputado Federal",329355,185306,175185,1728975,"689.846",39.9
"21",1998,"RO","Deputado Federal",250775,60606,65250,836179,"376.631",45.04
"22",1998,"RR","Deputado Federal",36897,3354,4085,170620,"44.336",25.99
"23",1998,"RS","Deputado Federal",1023119,561884,410343,6846077,"1.995.346",29.15
