"","Ano da eleição","UF","Cargo","Cadeiras oferecidas","Votos válidos","Sigla do partido","Votos do partido","Quociente eleitoral","Quociente partidário"
"1",1998,"AC","Deputado Estadual",24,"219.824","PC do B","5.186","9.159,32","0,57"
"2",1998,"AC","Deputado Estadual",24,"219.824","PDT","3.879","9.159,32","0,42"
"3",1998,"AC","Deputado Estadual",24,"219.824","PFL","25.322","9.159,32","2,76"
"4",1998,"AC","Deputado Estadual",24,"219.824","PL","7.224","9.159,32","0,79"
"5",1998,"AC","Deputado Estadual",24,"219.824","PMDB","41.312","9.159,32","4,51"
"6",1998,"AC","Deputado Estadual",24,"219.824","PMN","26.159","9.159,32","2,86"
"7",1998,"AC","Deputado Estadual",24,"219.824","PPB","42.824","9.159,32","4,68"
"8",1998,"AC","Deputado Estadual",24,"219.824","PPS","831","9.159,32","0,09"
"9",1998,"AC","Deputado Estadual",24,"219.824","PRONA","2.186","9.159,32","0,24"
"10",1998,"AC","Deputado Estadual",24,"219.824","PSB","6.428","9.159,32","0,7"
"11",1998,"AC","Deputado Estadual",24,"219.824","PSDB","23.209","9.159,32","2,53"
"12",1998,"AC","Deputado Estadual",24,"219.824","PSL","45","9.159,32","0"
"13",1998,"AC","Deputado Estadual",24,"219.824","PT","29.970","9.159,32","3,27"
"14",1998,"AC","Deputado Estadual",24,"219.824","PT do B","1.431","9.159,32","0,16"
"15",1998,"AC","Deputado Estadual",24,"219.824","PTB","2.143","9.159,32","0,23"
"16",1998,"AC","Deputado Estadual",24,"219.824","PV","1.675","9.159,32","0,18"
"17",2002,"AC","Deputado Estadual",24,"279.077","PC do B","8.639","11.628,20","0,74"
"18",2002,"AC","Deputado Estadual",24,"279.077","PDT","6.150","11.628,20","0,53"
"19",2002,"AC","Deputado Estadual",24,"279.077","PFL","12.506","11.628,20","1,08"
"20",2002,"AC","Deputado Estadual",24,"279.077","PL","19.305","11.628,20","1,66"
"21",2002,"AC","Deputado Estadual",24,"279.077","PMDB","26.714","11.628,20","2,3"
