"","Ano da eleição","UF","Cargo","Cadeiras oferecidas","Votos válidos","Sigla do partido","Votos do partido","Quociente eleitoral","Quociente partidário"
"1",1998,"AC","Deputado Federal",8,"209.552","PC do B","1.712","26.194",0.07
"2",1998,"AC","Deputado Federal",8,"209.552","PDT","10.053","26.194",0.38
"3",1998,"AC","Deputado Federal",8,"209.552","PFL","72.987","26.194",2.79
"4",1998,"AC","Deputado Federal",8,"209.552","PL","1.358","26.194",0.05
"5",1998,"AC","Deputado Federal",8,"209.552","PMDB","29.755","26.194",1.14
"6",1998,"AC","Deputado Federal",8,"209.552","PMN","1.210","26.194",0.05
"7",1998,"AC","Deputado Federal",8,"209.552","PPB","29.472","26.194",1.13
"8",1998,"AC","Deputado Federal",8,"209.552","PPS","0.533","26.194",0.02
"9",1998,"AC","Deputado Federal",8,"209.552","PRONA","0.931","26.194",0.04
"10",1998,"AC","Deputado Federal",8,"209.552","PSB","0.890","26.194",0.03
"11",1998,"AC","Deputado Federal",8,"209.552","PSDB","12.017","26.194",0.46
"12",1998,"AC","Deputado Federal",8,"209.552","PSL","0.40","26.194",0
"13",1998,"AC","Deputado Federal",8,"209.552","PSTU","0.58","26.194",0
"14",1998,"AC","Deputado Federal",8,"209.552","PT","47.880","26.194",1.83
"15",1998,"AC","Deputado Federal",8,"209.552","PT do B","0.328","26.194",0.01
"16",1998,"AC","Deputado Federal",8,"209.552","PTB","0.238","26.194",0.01
"17",1998,"AC","Deputado Federal",8,"209.552","PV","0.90","26.194",0
"18",2002,"AC","Deputado Federal",8,"278.774","PC do B","22.835","34.846,75",0.66
"19",2002,"AC","Deputado Federal",8,"278.774","PDT","4.570","34.846,75",0.13
"20",2002,"AC","Deputado Federal",8,"278.774","PFL","7.062","34.846,75",0.2
"21",2002,"AC","Deputado Federal",8,"278.774","PL","4.422","34.846,75",0.13
"22",2002,"AC","Deputado Federal",8,"278.774","PMDB","29.489","34.846,75",0.85
"23",2002,"AC","Deputado Federal",8,"278.774","PMN","9.911","34.846,75",0.28
"24",2002,"AC","Deputado Federal",8,"278.774","PPB","41.059","34.846,75",1.18
"25",2002,"AC","Deputado Federal",8,"278.774","PPS","33.863","34.846,75",0.97
