"","Ano da eleição","UF","Cargo","Vagas","Votos válidos","Sigla do partido","Total de votos conquistados","Total de cadeiras conquistadas","Percentual de votos conquistados","Percentual de cadeiras conquistadas","Número efetivo de partidos eleitoral","Número efetivo de partidos legislativo","Fracionalização","Fracionalização máxima","Fragmentação","Desproporcionalidade"
"1",1998,"AC","Deputado Federal",8,"209.552","PC do B","1.712",0,"0,01","0,00"," 4,56"," 4,00","0,75","1,08","0,70"," 7,46"
"2",1998,"AC","Deputado Federal",8,"209.552","PDT","10.053",1,"0,05","0,12"," 4,56"," 4,00","0,75","1,08","0,70"," 7,46"
"3",1998,"AC","Deputado Federal",8,"209.552","PFL","72.987",3,"0,35","0,38"," 4,56"," 4,00","0,75","1,08","0,70"," 7,46"
"4",1998,"AC","Deputado Federal",8,"209.552","PL","1.358",0,"0,01","0,00"," 4,56"," 4,00","0,75","1,08","0,70"," 7,46"
"5",1998,"AC","Deputado Federal",8,"209.552","PMDB","29.755",1,"0,14","0,12"," 4,56"," 4,00","0,75","1,08","0,70"," 7,46"
"6",1998,"AC","Deputado Federal",8,"209.552","PMN","1.210",0,"0,01","0,00"," 4,56"," 4,00","0,75","1,08","0,70"," 7,46"
"7",1998,"AC","Deputado Federal",8,"209.552","PPB","29.472",1,"0,14","0,12"," 4,56"," 4,00","0,75","1,08","0,70"," 7,46"
"8",1998,"AC","Deputado Federal",8,"209.552","PPS","533",0,"0,00","0,00"," 4,56"," 4,00","0,75","1,08","0,70"," 7,46"
"9",1998,"AC","Deputado Federal",8,"209.552","PRONA","931",0,"0,00","0,00"," 4,56"," 4,00","0,75","1,08","0,70"," 7,46"
"10",1998,"AC","Deputado Federal",8,"209.552","PSB","890",0,"0,00","0,00"," 4,56"," 4,00","0,75","1,08","0,70"," 7,46"
"11",1998,"AC","Deputado Federal",8,"209.552","PSDB","12.017",0,"0,06","0,00"," 4,56"," 4,00","0,75","1,08","0,70"," 7,46"
"12",1998,"AC","Deputado Federal",8,"209.552","PSL","40",0,"0,00","0,00"," 4,56"," 4,00","0,75","1,08","0,70"," 7,46"
"13",1998,"AC","Deputado Federal",8,"209.552","PSTU","58",0,"0,00","0,00"," 4,56"," 4,00","0,75","1,08","0,70"," 7,46"
"14",1998,"AC","Deputado Federal",8,"209.552","PT","47.880",2,"0,23","0,25"," 4,56"," 4,00","0,75","1,08","0,70"," 7,46"
"15",1998,"AC","Deputado Federal",8,"209.552","PT do B","328",0,"0,00","0,00"," 4,56"," 4,00","0,75","1,08","0,70"," 7,46"
"16",1998,"AC","Deputado Federal",8,"209.552","PTB","238",0,"0,00","0,00"," 4,56"," 4,00","0,75","1,08","0,70"," 7,46"
"17",1998,"AC","Deputado Federal",8,"209.552","PV","90",0,"0,00","0,00"," 4,56"," 4,00","0,75","1,08","0,70"," 7,46"
"18",1998,"AL","Deputado Federal",9,"858.595","PAN","352",0,"0,00","0,00"," 9,45"," 7,36","0,86","1,08","0,80","10,08"
"19",1998,"AL","Deputado Federal",9,"858.595","PC do B","13.621",0,"0,02","0,00"," 9,45"," 7,36","0,86","1,08","0,80","10,08"
"20",1998,"AL","Deputado Federal",9,"858.595","PDT","28.821",0,"0,03","0,00"," 9,45"," 7,36","0,86","1,08","0,80","10,08"
"21",1998,"AL","Deputado Federal",9,"858.595","PFL","81.822",1,"0,10","0,11"," 9,45"," 7,36","0,86","1,08","0,80","10,08"
"22",1998,"AL","Deputado Federal",9,"858.595","PGT","225",0,"0,00","0,00"," 9,45"," 7,36","0,86","1,08","0,80","10,08"
"23",1998,"AL","Deputado Federal",9,"858.595","PL","3.530",0,"0,00","0,00"," 9,45"," 7,36","0,86","1,08","0,80","10,08"
"24",1998,"AL","Deputado Federal",9,"858.595","PMDB","123.223",1,"0,14","0,11"," 9,45"," 7,36","0,86","1,08","0,80","10,08"
"25",1998,"AL","Deputado Federal",9,"858.595","PMN","70.702",1,"0,08","0,11"," 9,45"," 7,36","0,86","1,08","0,80","10,08"
"26",1998,"AL","Deputado Federal",9,"858.595","PPB","44.740",0,"0,05","0,00"," 9,45"," 7,36","0,86","1,08","0,80","10,08"
"27",1998,"AL","Deputado Federal",9,"858.595","PPS","32.255",1,"0,04","0,11"," 9,45"," 7,36","0,86","1,08","0,80","10,08"
"28",1998,"AL","Deputado Federal",9,"858.595","PRN","3.843",0,"0,00","0,00"," 9,45"," 7,36","0,86","1,08","0,80","10,08"
"29",1998,"AL","Deputado Federal",9,"858.595","PRONA","1.796",0,"0,00","0,00"," 9,45"," 7,36","0,86","1,08","0,80","10,08"
"30",1998,"AL","Deputado Federal",9,"858.595","PRP","2.761",0,"0,00","0,00"," 9,45"," 7,36","0,86","1,08","0,80","10,08"
"31",1998,"AL","Deputado Federal",9,"858.595","PRTB","229",0,"0,00","0,00"," 9,45"," 7,36","0,86","1,08","0,80","10,08"
"32",1998,"AL","Deputado Federal",9,"858.595","PSB","104.173",1,"0,12","0,11"," 9,45"," 7,36","0,86","1,08","0,80","10,08"
"33",1998,"AL","Deputado Federal",9,"858.595","PSC","268",0,"0,00","0,00"," 9,45"," 7,36","0,86","1,08","0,80","10,08"
"34",1998,"AL","Deputado Federal",9,"858.595","PSD","66.172",1,"0,08","0,11"," 9,45"," 7,36","0,86","1,08","0,80","10,08"
"35",1998,"AL","Deputado Federal",9,"858.595","PSDB","159.426",2,"0,19","0,22"," 9,45"," 7,36","0,86","1,08","0,80","10,08"
"36",1998,"AL","Deputado Federal",9,"858.595","PSN","3.831",0,"0,00","0,00"," 9,45"," 7,36","0,86","1,08","0,80","10,08"
"37",1998,"AL","Deputado Federal",9,"858.595","PST","360",0,"0,00","0,00"," 9,45"," 7,36","0,86","1,08","0,80","10,08"
"38",1998,"AL","Deputado Federal",9,"858.595","PSTU","1.294",0,"0,00","0,00"," 9,45"," 7,36","0,86","1,08","0,80","10,08"
"39",1998,"AL","Deputado Federal",9,"858.595","PT","54.907",0,"0,06","0,00"," 9,45"," 7,36","0,86","1,08","0,80","10,08"
"40",1998,"AL","Deputado Federal",9,"858.595","PT do B","718",0,"0,00","0,00"," 9,45"," 7,36","0,86","1,08","0,80","10,08"
"41",1998,"AL","Deputado Federal",9,"858.595","PTB","57.652",1,"0,07","0,11"," 9,45"," 7,36","0,86","1,08","0,80","10,08"
"42",1998,"AL","Deputado Federal",9,"858.595","PTN","1.249",0,"0,00","0,00"," 9,45"," 7,36","0,86","1,08","0,80","10,08"
"43",1998,"AL","Deputado Federal",9,"858.595","PV","625",0,"0,00","0,00"," 9,45"," 7,36","0,86","1,08","0,80","10,08"
"44",1998,"AM","Deputado Federal",8,"855.546","PC do B","69.148",1,"0,08","0,12"," 4,39"," 3,20","0,69","1,07","0,64","10,37"
"45",1998,"AM","Deputado Federal",8,"855.546","PDT","4.415",0,"0,01","0,00"," 4,39"," 3,20","0,69","1,07","0,64","10,37"
"46",1998,"AM","Deputado Federal",8,"855.546","PFL","362.505",4,"0,42","0,50"," 4,39"," 3,20","0,69","1,07","0,64","10,37"
"47",1998,"AM","Deputado Federal",8,"855.546","PL","72.744",1,"0,09","0,12"," 4,39"," 3,20","0,69","1,07","0,64","10,37"
"48",1998,"AM","Deputado Federal",8,"855.546","PMDB","9.870",0,"0,01","0,00"," 4,39"," 3,20","0,69","1,07","0,64","10,37"
"49",1998,"AM","Deputado Federal",8,"855.546","PMN","6.014",0,"0,01","0,00"," 4,39"," 3,20","0,69","1,07","0,64","10,37"
"50",1998,"AM","Deputado Federal",8,"855.546","PPB","72.800",1,"0,09","0,12"," 4,39"," 3,20","0,69","1,07","0,64","10,37"
"51",1998,"AM","Deputado Federal",8,"855.546","PPS","3.445",0,"0,00","0,00"," 4,39"," 3,20","0,69","1,07","0,64","10,37"
