"","Ano da eleição","UF","Cargo","Vagas","Votos válidos","Sigla do partido","Total de votos conquistados","Total de cadeiras conquistadas","Percentual de votos conquistados","Percentual de cadeiras conquistadas","Fracionalização","Fracionalização máxima","Fragmentação","Desproporcionalidade de gallagher","Número efetivo de partidos por votos","Número efetivo de partidos por cadeiras"
"1",1998,"AC","Deputado Estadual",24,"219.824","PC do B","5.186",1,"0.02","0.04","0.85","0.91","0.94"," 5.70"," 7.57"," 6.86"
"2",1998,"AC","Deputado Estadual",24,"219.824","PFL","25.322",3,"0.12","0.12","0.85","0.91","0.94"," 5.70"," 7.57"," 6.86"
"3",1998,"AC","Deputado Estadual",24,"219.824","PL","7.224",2,"0.03","0.08","0.85","0.91","0.94"," 5.70"," 7.57"," 6.86"
"4",1998,"AC","Deputado Estadual",24,"219.824","PMDB","41.312",4,"0.19","0.17","0.85","0.91","0.94"," 5.70"," 7.57"," 6.86"
"5",1998,"AC","Deputado Estadual",24,"219.824","PMN","26.159",4,"0.12","0.17","0.85","0.91","0.94"," 5.70"," 7.57"," 6.86"
"6",1998,"AC","Deputado Estadual",24,"219.824","PPB","42.824",5,"0.19","0.21","0.85","0.91","0.94"," 5.70"," 7.57"," 6.86"
"7",1998,"AC","Deputado Estadual",24,"219.824","PSDB","23.209",2,"0.11","0.08","0.85","0.91","0.94"," 5.70"," 7.57"," 6.86"
"8",1998,"AC","Deputado Estadual",24,"219.824","PT","29.970",3,"0.14","0.12","0.85","0.91","0.94"," 5.70"," 7.57"," 6.86"
"9",1998,"AL","Deputado Estadual",27,"865.662","PFL","50.676",2,"0.06","0.07","0.86","0.92","0.93"," 6.27"," 8.51"," 6.94"
"10",1998,"AL","Deputado Estadual",27,"865.662","PMDB","61.751",2,"0.07","0.07","0.86","0.92","0.93"," 6.27"," 8.51"," 6.94"
"11",1998,"AL","Deputado Estadual",27,"865.662","PSB","76.663",3,"0.09","0.11","0.86","0.92","0.93"," 6.27"," 8.51"," 6.94"
"12",1998,"AL","Deputado Estadual",27,"865.662","PSD","76.592",3,"0.09","0.11","0.86","0.92","0.93"," 6.27"," 8.51"," 6.94"
"13",1998,"AL","Deputado Estadual",27,"865.662","PSDB","161.919",4,"0.19","0.15","0.86","0.92","0.93"," 6.27"," 8.51"," 6.94"
"14",1998,"AL","Deputado Estadual",27,"865.662","PSL","108.790",3,"0.13","0.11","0.86","0.92","0.93"," 6.27"," 8.51"," 6.94"
"15",1998,"AL","Deputado Estadual",27,"865.662","PT","54.763",2,"0.06","0.07","0.86","0.92","0.93"," 6.27"," 8.51"," 6.94"
"16",1998,"AL","Deputado Estadual",27,"865.662","PT do B","7.710",1,"0.01","0.04","0.86","0.92","0.93"," 6.27"," 8.51"," 6.94"
"17",1998,"AL","Deputado Estadual",27,"865.662","PTB","169.890",7,"0.20","0.26","0.86","0.92","0.93"," 6.27"," 8.51"," 6.94"
"18",1998,"AM","Deputado Estadual",24,"872.906","PC do B","17.154",1,"0.02","0.04","0.86","0.95","0.91"," 4.20"," 8.55"," 7.20"
"19",1998,"AM","Deputado Estadual",24,"872.906","PFL","139.403",4,"0.16","0.17","0.86","0.95","0.91"," 4.20"," 8.55"," 7.20"
"20",1998,"AM","Deputado Estadual",24,"872.906","PL","162.067",5,"0.19","0.21","0.86","0.95","0.91"," 4.20"," 8.55"," 7.20"
"21",1998,"AM","Deputado Estadual",24,"872.906","PMDB","50.213",1,"0.06","0.04","0.86","0.95","0.91"," 4.20"," 8.55"," 7.20"
"22",1998,"AM","Deputado Estadual",24,"872.906","PPB","49.031",2,"0.06","0.08","0.86","0.95","0.91"," 4.20"," 8.55"," 7.20"
"23",1998,"AM","Deputado Estadual",24,"872.906","PPS","16.702",1,"0.02","0.04","0.86","0.95","0.91"," 4.20"," 8.55"," 7.20"
"24",1998,"AM","Deputado Estadual",24,"872.906","PSC","14.484",1,"0.02","0.04","0.86","0.95","0.91"," 4.20"," 8.55"," 7.20"
"25",1998,"AM","Deputado Estadual",24,"872.906","PSDB","37.460",1,"0.04","0.04","0.86","0.95","0.91"," 4.20"," 8.55"," 7.20"
"26",1998,"AM","Deputado Estadual",24,"872.906","PSDC","58.728",2,"0.07","0.08","0.86","0.95","0.91"," 4.20"," 8.55"," 7.20"
"27",1998,"AM","Deputado Estadual",24,"872.906","PT","28.687",1,"0.03","0.04","0.86","0.95","0.91"," 4.20"," 8.55"," 7.20"
"28",1998,"AM","Deputado Estadual",24,"872.906","PTB","178.865",5,"0.20","0.21","0.86","0.95","0.91"," 4.20"," 8.55"," 7.20"
"29",1998,"AP","Deputado Estadual",24,"178.131","PDT","23.831",4,"0.13","0.17","0.88","0.94","0.94"," 6.16","10.20"," 8.23"
"30",1998,"AP","Deputado Estadual",24,"178.131","PFL","26.840",3,"0.15","0.12","0.88","0.94","0.94"," 6.16","10.20"," 8.23"
"31",1998,"AP","Deputado Estadual",24,"178.131","PL","10.138",2,"0.06","0.08","0.88","0.94","0.94"," 6.16","10.20"," 8.23"
"32",1998,"AP","Deputado Estadual",24,"178.131","PMDB","23.041",4,"0.13","0.17","0.88","0.94","0.94"," 6.16","10.20"," 8.23"
"33",1998,"AP","Deputado Estadual",24,"178.131","PSB","21.556",3,"0.12","0.12","0.88","0.94","0.94"," 6.16","10.20"," 8.23"
"34",1998,"AP","Deputado Estadual",24,"178.131","PSD","15.874",3,"0.09","0.12","0.88","0.94","0.94"," 6.16","10.20"," 8.23"
"35",1998,"AP","Deputado Estadual",24,"178.131","PSDB","12.015",1,"0.07","0.04","0.88","0.94","0.94"," 6.16","10.20"," 8.23"
"36",1998,"AP","Deputado Estadual",24,"178.131","PSL","10.751",1,"0.06","0.04","0.88","0.94","0.94"," 6.16","10.20"," 8.23"
"37",1998,"AP","Deputado Estadual",24,"178.131","PT","9.257",2,"0.05","0.08","0.88","0.94","0.94"," 6.16","10.20"," 8.23"
"38",1998,"AP","Deputado Estadual",24,"178.131","PTB","11.250",1,"0.06","0.04","0.88","0.94","0.94"," 6.16","10.20"," 8.23"
"39",1998,"BA","Deputado Estadual",63,"4.184.862","PC do B","99.265",1,"0.02","0.02","0.82","0.94","0.88"," 2.85"," 6.21"," 5.65"
"40",1998,"BA","Deputado Estadual",63,"4.184.862","PDT","117.634",1,"0.03","0.02","0.82","0.94","0.88"," 2.85"," 6.21"," 5.65"
"41",1998,"BA","Deputado Estadual",63,"4.184.862","PFL","1.434.185",23,"0.34","0.37","0.82","0.94","0.88"," 2.85"," 6.21"," 5.65"
"42",1998,"BA","Deputado Estadual",63,"4.184.862","PL","268.970",4,"0.06","0.06","0.82","0.94","0.88"," 2.85"," 6.21"," 5.65"
"43",1998,"BA","Deputado Estadual",63,"4.184.862","PMDB","247.895",4,"0.06","0.06","0.82","0.94","0.88"," 2.85"," 6.21"," 5.65"
"44",1998,"BA","Deputado Estadual",63,"4.184.862","PPB","395.414",6,"0.09","0.10","0.82","0.94","0.88"," 2.85"," 6.21"," 5.65"
"45",1998,"BA","Deputado Estadual",63,"4.184.862","PSB","170.672",4,"0.04","0.06","0.82","0.94","0.88"," 2.85"," 6.21"," 5.65"
"46",1998,"BA","Deputado Estadual",63,"4.184.862","PSC","231.654",3,"0.06","0.05","0.82","0.94","0.88"," 2.85"," 6.21"," 5.65"
"47",1998,"BA","Deputado Estadual",63,"4.184.862","PSDB","305.614",4,"0.07","0.06","0.82","0.94","0.88"," 2.85"," 6.21"," 5.65"
"48",1998,"BA","Deputado Estadual",63,"4.184.862","PT","367.536",6,"0.09","0.10","0.82","0.94","0.88"," 2.85"," 6.21"," 5.65"
"49",1998,"BA","Deputado Estadual",63,"4.184.862","PT do B","51.958",1,"0.01","0.02","0.82","0.94","0.88"," 2.85"," 6.21"," 5.65"
"50",1998,"BA","Deputado Estadual",63,"4.184.862","PTB","367.518",5,"0.09","0.08","0.82","0.94","0.88"," 2.85"," 6.21"," 5.65"
"51",1998,"BA","Deputado Estadual",63,"4.184.862","PV","28.107",1,"0.01","0.02","0.82","0.94","0.88"," 2.85"," 6.21"," 5.65"
"52",1998,"CE","Deputado Estadual",46,"2.730.197","PC do B","72.246",1,"0.03","0.02","0.75","0.94","0.80"," 5.71"," 5.20"," 4.05"
"53",1998,"CE","Deputado Estadual",46,"2.730.197","PDT","111.371",2,"0.04","0.04","0.75","0.94","0.80"," 5.71"," 5.20"," 4.05"
"54",1998,"CE","Deputado Estadual",46,"2.730.197","PFL","85.949",2,"0.03","0.04","0.75","0.94","0.80"," 5.71"," 5.20"," 4.05"
"55",1998,"CE","Deputado Estadual",46,"2.730.197","PL","56.176",1,"0.02","0.02","0.75","0.94","0.80"," 5.71"," 5.20"," 4.05"
"56",1998,"CE","Deputado Estadual",46,"2.730.197","PMDB","384.531",6,"0.14","0.13","0.75","0.94","0.80"," 5.71"," 5.20"," 4.05"
"57",1998,"CE","Deputado Estadual",46,"2.730.197","PPB","151.955",2,"0.06","0.04","0.75","0.94","0.80"," 5.71"," 5.20"," 4.05"
"58",1998,"CE","Deputado Estadual",46,"2.730.197","PPS","290.908",4,"0.11","0.09","0.75","0.94","0.80"," 5.71"," 5.20"," 4.05"
"59",1998,"CE","Deputado Estadual",46,"2.730.197","PSB","60.104",1,"0.02","0.02","0.75","0.94","0.80"," 5.71"," 5.20"," 4.05"
"60",1998,"CE","Deputado Estadual",46,"2.730.197","PSC","95.171",1,"0.03","0.02","0.75","0.94","0.80"," 5.71"," 5.20"," 4.05"
"61",1998,"CE","Deputado Estadual",46,"2.730.197","PSDB","1.43.507",21,"0.38","0.46","0.75","0.94","0.80"," 5.71"," 5.20"," 4.05"
"62",1998,"CE","Deputado Estadual",46,"2.730.197","PT","178.857",3,"0.07","0.07","0.75","0.94","0.80"," 5.71"," 5.20"," 4.05"
"63",1998,"CE","Deputado Estadual",46,"2.730.197","PTB","129.756",2,"0.05","0.04","0.75","0.94","0.80"," 5.71"," 5.20"," 4.05"
"64",1998,"ES","Deputado Estadual",30,"1.284.944","PDT","84.749",2,"0.07","0.07","0.87","0.93","0.94"," 6.99"," 9.75"," 7.76"
"65",1998,"ES","Deputado Estadual",30,"1.284.944","PFL","160.374",6,"0.12","0.20","0.87","0.93","0.94"," 6.99"," 9.75"," 7.76"
"66",1998,"ES","Deputado Estadual",30,"1.284.944","PMDB","177.686",4,"0.14","0.13","0.87","0.93","0.94"," 6.99"," 9.75"," 7.76"
"67",1998,"ES","Deputado Estadual",30,"1.284.944","PMN","35.973",1,"0.03","0.03","0.87","0.93","0.94"," 6.99"," 9.75"," 7.76"
"68",1998,"ES","Deputado Estadual",30,"1.284.944","PPB","51.686",1,"0.04","0.03","0.87","0.93","0.94"," 6.99"," 9.75"," 7.76"
"69",1998,"ES","Deputado Estadual",30,"1.284.944","PPS","135.152",4,"0.11","0.13","0.87","0.93","0.94"," 6.99"," 9.75"," 7.76"
"70",1998,"ES","Deputado Estadual",30,"1.284.944","PSB","95.801",3,"0.07","0.10","0.87","0.93","0.94"," 6.99"," 9.75"," 7.76"
"71",1998,"ES","Deputado Estadual",30,"1.284.944","PSDB","218.259",4,"0.17","0.13","0.87","0.93","0.94"," 6.99"," 9.75"," 7.76"
"72",1998,"ES","Deputado Estadual",30,"1.284.944","PT","76.740",1,"0.06","0.03","0.87","0.93","0.94"," 6.99"," 9.75"," 7.76"
"73",1998,"ES","Deputado Estadual",30,"1.284.944","PTB","140.901",4,"0.11","0.13","0.87","0.93","0.94"," 6.99"," 9.75"," 7.76"
"74",1998,"GO","Deputado Estadual",41,"1.965.696","PC do B","25.353",1,"0.01","0.02","0.79","0.93","0.85"," 3.57"," 5.44"," 4.87"
"75",1998,"GO","Deputado Estadual",41,"1.965.696","PDT","28.927",1,"0.01","0.02","0.79","0.93","0.85"," 3.57"," 5.44"," 4.87"
"76",1998,"GO","Deputado Estadual",41,"1.965.696","PFL","106.432",2,"0.05","0.05","0.79","0.93","0.85"," 3.57"," 5.44"," 4.87"
"77",1998,"GO","Deputado Estadual",41,"1.965.696","PL","173.685",4,"0.09","0.10","0.79","0.93","0.85"," 3.57"," 5.44"," 4.87"
"78",1998,"GO","Deputado Estadual",41,"1.965.696","PMDB","732.838",16,"0.37","0.39","0.79","0.93","0.85"," 3.57"," 5.44"," 4.87"
"79",1998,"GO","Deputado Estadual",41,"1.965.696","PPB","117.415",3,"0.06","0.07","0.79","0.93","0.85"," 3.57"," 5.44"," 4.87"
"80",1998,"GO","Deputado Estadual",41,"1.965.696","PSC","38.546",1,"0.02","0.02","0.79","0.93","0.85"," 3.57"," 5.44"," 4.87"
"81",1998,"GO","Deputado Estadual",41,"1.965.696","PSD","194.410",4,"0.10","0.10","0.79","0.93","0.85"," 3.57"," 5.44"," 4.87"
"82",1998,"GO","Deputado Estadual",41,"1.965.696","PSDB","247.403",6,"0.13","0.15","0.79","0.93","0.85"," 3.57"," 5.44"," 4.87"
