"","Ano da eleição","Cargo","Votos válidos","Sigla do partido","Total de votos conquistados","Total de cadeiras conquistadas","Percentual de votos conquistados","Percentual de cadeiras conquistadas","Fracionalização","Fracionalização máxima","Fragmentação","Desproporcionalidade","Número efetivo de partidos eleitoral","Número efetivo de partidos legislativo"
"1",1998,"Deputado Federal","62.712.552","PC do B","869.290",7,"0.01","0.01","0.86","0.95","0.91","2.66"," 7.20"," 7.13"
"2",1998,"Deputado Federal","62.712.552","PDT","3.778.948",25,"0.06","0.05","0.86","0.95","0.91","2.66"," 7.20"," 7.13"
"3",1998,"Deputado Federal","62.712.552","PFL","11.553.028",105,"0.18","0.20","0.86","0.95","0.91","2.66"," 7.20"," 7.13"
"4",1998,"Deputado Federal","62.712.552","PL","1.644.001",12,"0.03","0.02","0.86","0.95","0.91","2.66"," 7.20"," 7.13"
"5",1998,"Deputado Federal","62.712.552","PMDB","10.108.509",83,"0.16","0.16","0.86","0.95","0.91","2.66"," 7.20"," 7.13"
"6",1998,"Deputado Federal","62.712.552","PMN","362.120",2,"0.01","0.00","0.86","0.95","0.91","2.66"," 7.20"," 7.13"
"7",1998,"Deputado Federal","62.712.552","PPB","7.578.680",60,"0.12","0.12","0.86","0.95","0.91","2.66"," 7.20"," 7.13"
"8",1998,"Deputado Federal","62.712.552","PPS","923.454",3,"0.01","0.01","0.86","0.95","0.91","2.66"," 7.20"," 7.13"
"9",1998,"Deputado Federal","62.712.552","PRONA","592.634",1,"0.01","0.00","0.86","0.95","0.91","2.66"," 7.20"," 7.13"
"10",1998,"Deputado Federal","62.712.552","PSB","2.273.448",18,"0.04","0.04","0.86","0.95","0.91","2.66"," 7.20"," 7.13"
"11",1998,"Deputado Federal","62.712.552","PSC","446.396",2,"0.01","0.00","0.86","0.95","0.91","2.66"," 7.20"," 7.13"
"12",1998,"Deputado Federal","62.712.552","PSD","503.724",3,"0.01","0.01","0.86","0.95","0.91","2.66"," 7.20"," 7.13"
"13",1998,"Deputado Federal","62.712.552","PSDB","11.687.208",99,"0.19","0.19","0.86","0.95","0.91","2.66"," 7.20"," 7.13"
"14",1998,"Deputado Federal","62.712.552","PSL","177.328",1,"0.00","0.00","0.86","0.95","0.91","2.66"," 7.20"," 7.13"
"15",1998,"Deputado Federal","62.712.552","PST","193.603",1,"0.00","0.00","0.86","0.95","0.91","2.66"," 7.20"," 7.13"
"16",1998,"Deputado Federal","62.712.552","PT","8.787.041",59,"0.14","0.12","0.86","0.95","0.91","2.66"," 7.20"," 7.13"
