"","Município - UF"
"1","Acrelândia - AC"
"2","Assis Brasil - AC"
"3","Brasiléia - AC"
"4","Bujari - AC"
"5","Capixaba - AC"
"6","Cruzeiro do Sul - AC"
"7","Epitaciolândia - AC"
"8","Feijó - AC"
"9","Jordão - AC"
"10","Mâncio Lima - AC"
"11","Manoel Urbano - AC"
"12","Marechal Thaumaturgo - AC"
"13","Plácido de Castro - AC"
"14","Porto Acre - AC"
"15","Porto Walter - AC"
"16","Rio Branco - AC"
"17","Rodrigues Alves - AC"
"18","Santa Rosa do Purus - AC"
"19","Sena Madureira - AC"
"20","Senador Guiomard - AC"
"21","Tarauacá - AC"
"22","Xapuri - AC"
"23","Água Branca - AL"
"24","Anadia - AL"
"25","Arapiraca - AL"
"26","Atalaia - AL"
"27","Barra de Santo Antônio - AL"
"28","Barra de São Miguel - AL"
"29","Batalha - AL"
"30","Belém - AL"
"31","Belo Monte - AL"
"32","Boca da Mata - AL"
"33","Branquinha - AL"
"34","Cacimbinhas - AL"
"35","Cajueiro - AL"
"36","Campestre - AL"
"37","Campo Alegre - AL"
"38","Campo Grande - AL"
"39","Canapi - AL"
"40","Capela - AL"
"41","Carneiros - AL"
"42","Chã Preta - AL"
"43","Coité do Nóia - AL"
"44","Colônia Leopoldina - AL"
"45","Coqueiro Seco - AL"
"46","Coruripe - AL"
"47","Craíbas - AL"
"48","Delmiro Gouveia - AL"
"49","Dois Riachos - AL"
"50","Estrela de Alagoas - AL"
"51","Feira Grande - AL"
"52","Feliz Deserto - AL"
"53","Flexeiras - AL"
"54","Girau do Ponciano - AL"
"55","Ibateguara - AL"
"56","Igaci - AL"
"57","Igreja Nova - AL"
"58","Inhapi - AL"
"59","Jacaré dos Homens - AL"
"60","Jacuípe - AL"
"61","Japaratinga - AL"
"62","Jaramataia - AL"
"63","Jequiá da Praia - AL"
"64","Joaquim Gomes - AL"
"65","Jundiá - AL"
"66","Junqueiro - AL"
"67","Lagoa da Canoa - AL"
"68","Limoeiro de Anadia - AL"
"69","Maceió - AL"
"70","Major Isidoro - AL"
"71","Mar Vermelho - AL"
"72","Maragogi - AL"
"73","Maravilha - AL"
"74","Marechal Deodoro - AL"
"75","Maribondo - AL"
"76","Mata Grande - AL"
"77","Matriz de Camaragibe - AL"
"78","Messias - AL"
"79","Minador do Negrão - AL"
"80","Monteirópolis - AL"
"81","Murici - AL"
"82","Novo Lino - AL"
"83","Olho d'Água das Flores - AL"
"84","Olho d'Água do Casado - AL"
"85","Olho d'Água Grande - AL"
"86","Olivença - AL"
"87","Ouro Branco - AL"
"88","Palestina - AL"
"89","Palmeira dos Índios - AL"
"90","Pão de Açúcar - AL"
"91","Pariconha - AL"
"92","Paripueira - AL"
"93","Passo de Camaragibe - AL"
"94","Paulo Jacinto - AL"
"95","Penedo - AL"
"96","Piaçabuçu - AL"
"97","Pilar - AL"
"98","Pindoba - AL"
"99","Piranhas - AL"
"100","Poço das Trincheiras - AL"
"101","Porto Calvo - AL"
"102","Porto de Pedras - AL"
"103","Porto Real do Colégio - AL"
"104","Quebrangulo - AL"
"105","Rio Largo - AL"
"106","Roteiro - AL"
"107","Santa Luzia do Norte - AL"
"108","Santana do Ipanema - AL"
"109","Santana do Mundaú - AL"
"110","São Brás - AL"
"111","São José da Laje - AL"
"112","São José da Tapera - AL"
"113","São Luís do Quitunde - AL"
"114","São Miguel dos Campos - AL"
"115","São Miguel dos Milagres - AL"
"116","São Sebastião - AL"
"117","Satuba - AL"
"118","Senador Rui Palmeira - AL"
"119","Tanque d'Arca - AL"
"120","Taquarana - AL"
"121","Teotônio Vilela - AL"
"122","Traipu - AL"
"123","União dos Palmares - AL"
"124","Viçosa - AL"
"125","Alvarães - AM"
"126","Amaturá - AM"
"127","Anamã - AM"
"128","Anori - AM"
"129","Apuí - AM"
"130","Atalaia do Norte - AM"
"131","Autazes - AM"
"132","Barcelos - AM"
"133","Barreirinha - AM"
"134","Benjamin Constant - AM"
"135","Beruri - AM"
"136","Boa Vista do Ramos - AM"
"137","Boca do Acre - AM"
