"","ANO_ELEICAO","DESCRICAO_CARGO","SIGLA_PARTIDO","UF","Cadeiras conquistadas por UF"
"1",1998,"DEPUTADO FEDERAL","PC do B","AM",1
"2",1998,"DEPUTADO FEDERAL","PC do B","BA",1
"3",1998,"DEPUTADO FEDERAL","PC do B","CE",1
"4",1998,"DEPUTADO FEDERAL","PC do B","DF",1
"5",1998,"DEPUTADO FEDERAL","PC do B","MG",1
"6",1998,"DEPUTADO FEDERAL","PC do B","RJ",1
"7",1998,"DEPUTADO FEDERAL","PC do B","SP",1
"8",1998,"DEPUTADO FEDERAL","PDT","AC",1
"9",1998,"DEPUTADO FEDERAL","PDT","BA",1
"10",1998,"DEPUTADO FEDERAL","PDT","MA",1
"11",1998,"DEPUTADO FEDERAL","PDT","MG",1
"12",1998,"DEPUTADO FEDERAL","PDT","PA",1
"13",1998,"DEPUTADO FEDERAL","PDT","PR",1
"14",1998,"DEPUTADO FEDERAL","PDT","RJ",7
"15",1998,"DEPUTADO FEDERAL","PDT","RO",2
"16",1998,"DEPUTADO FEDERAL","PDT","RS",4
"17",1998,"DEPUTADO FEDERAL","PDT","SC",2
"18",1998,"DEPUTADO FEDERAL","PDT","SP",4
"19",1998,"DEPUTADO FEDERAL","PFL","AC",3
"20",1998,"DEPUTADO FEDERAL","PFL","AL",1
"21",1998,"DEPUTADO FEDERAL","PFL","AM",4
"22",1998,"DEPUTADO FEDERAL","PFL","AP",2
"23",1998,"DEPUTADO FEDERAL","PFL","BA",20
"24",1998,"DEPUTADO FEDERAL","PFL","CE",1
"25",1998,"DEPUTADO FEDERAL","PFL","DF",1
"26",1998,"DEPUTADO FEDERAL","PFL","ES",1
"27",1998,"DEPUTADO FEDERAL","PFL","GO",2
"28",1998,"DEPUTADO FEDERAL","PFL","MA",6
"29",1998,"DEPUTADO FEDERAL","PFL","MG",8
"30",1998,"DEPUTADO FEDERAL","PFL","MS",1
"31",1998,"DEPUTADO FEDERAL","PFL","MT",1
"32",1998,"DEPUTADO FEDERAL","PFL","PA",3
"33",1998,"DEPUTADO FEDERAL","PFL","PB",3
"34",1998,"DEPUTADO FEDERAL","PFL","PE",8
"35",1998,"DEPUTADO FEDERAL","PFL","PI",5
"36",1998,"DEPUTADO FEDERAL","PFL","PR",6
"37",1998,"DEPUTADO FEDERAL","PFL","RJ",9
"38",1998,"DEPUTADO FEDERAL","PFL","RN",3
"39",1998,"DEPUTADO FEDERAL","PFL","RO",2
"40",1998,"DEPUTADO FEDERAL","PFL","RS",1
"41",1998,"DEPUTADO FEDERAL","PFL","SC",3
"42",1998,"DEPUTADO FEDERAL","PFL","SP",8
"43",1998,"DEPUTADO FEDERAL","PFL","TO",3
"44",1998,"DEPUTADO FEDERAL","PL","AM",1
"45",1998,"DEPUTADO FEDERAL","PL","BA",1
"46",1998,"DEPUTADO FEDERAL","PL","GO",2
"47",1998,"DEPUTADO FEDERAL","PL","MA",2
"48",1998,"DEPUTADO FEDERAL","PL","MG",3
"49",1998,"DEPUTADO FEDERAL","PL","MT",1
"50",1998,"DEPUTADO FEDERAL","PL","SP",2
"51",1998,"DEPUTADO FEDERAL","PMDB","AC",1
"52",1998,"DEPUTADO FEDERAL","PMDB","AL",1
"53",1998,"DEPUTADO FEDERAL","PMDB","AP",1
"54",1998,"DEPUTADO FEDERAL","PMDB","BA",3
"55",1998,"DEPUTADO FEDERAL","PMDB","CE",5
"56",1998,"DEPUTADO FEDERAL","PMDB","DF",1
"57",1998,"DEPUTADO FEDERAL","PMDB","ES",1
"58",1998,"DEPUTADO FEDERAL","PMDB","GO",8
"59",1998,"DEPUTADO FEDERAL","PMDB","MA",3
"60",1998,"DEPUTADO FEDERAL","PMDB","MG",9
"61",1998,"DEPUTADO FEDERAL","PMDB","MS",1
"62",1998,"DEPUTADO FEDERAL","PMDB","MT",2
"63",1998,"DEPUTADO FEDERAL","PMDB","PA",4
"64",1998,"DEPUTADO FEDERAL","PMDB","PB",5
"65",1998,"DEPUTADO FEDERAL","PMDB","PE",3
"66",1998,"DEPUTADO FEDERAL","PMDB","PI",3
"67",1998,"DEPUTADO FEDERAL","PMDB","PR",4
"68",1998,"DEPUTADO FEDERAL","PMDB","RJ",2
"69",1998,"DEPUTADO FEDERAL","PMDB","RN",4
"70",1998,"DEPUTADO FEDERAL","PMDB","RO",1
"71",1998,"DEPUTADO FEDERAL","PMDB","RR",1
"72",1998,"DEPUTADO FEDERAL","PMDB","RS",7
"73",1998,"DEPUTADO FEDERAL","PMDB","SC",4
"74",1998,"DEPUTADO FEDERAL","PMDB","SE",2
"75",1998,"DEPUTADO FEDERAL","PMDB","SP",5
"76",1998,"DEPUTADO FEDERAL","PMDB","TO",2
"77",1998,"DEPUTADO FEDERAL","PMN","AL",1
"78",1998,"DEPUTADO FEDERAL","PMN","SE",1
"79",1998,"DEPUTADO FEDERAL","PPB","AC",1
"80",1998,"DEPUTADO FEDERAL","PPB","AM",1
"81",1998,"DEPUTADO FEDERAL","PPB","BA",1
"82",1998,"DEPUTADO FEDERAL","PPB","CE",1
"83",1998,"DEPUTADO FEDERAL","PPB","DF",2
"84",1998,"DEPUTADO FEDERAL","PPB","ES",1
"85",1998,"DEPUTADO FEDERAL","PPB","GO",1
"86",1998,"DEPUTADO FEDERAL","PPB","MG",7
"87",1998,"DEPUTADO FEDERAL","PPB","MS",1
"88",1998,"DEPUTADO FEDERAL","PPB","PA",1
"89",1998,"DEPUTADO FEDERAL","PPB","PB",1
"90",1998,"DEPUTADO FEDERAL","PPB","PE",2
"91",1998,"DEPUTADO FEDERAL","PPB","PR",5
"92",1998,"DEPUTADO FEDERAL","PPB","RJ",6
"93",1998,"DEPUTADO FEDERAL","PPB","RN",1
"94",1998,"DEPUTADO FEDERAL","PPB","RR",4
"95",1998,"DEPUTADO FEDERAL","PPB","RS",5
"96",1998,"DEPUTADO FEDERAL","PPB","SC",4
"97",1998,"DEPUTADO FEDERAL","PPB","SE",1
"98",1998,"DEPUTADO FEDERAL","PPB","SP",12
"99",1998,"DEPUTADO FEDERAL","PPB","TO",2
"100",1998,"DEPUTADO FEDERAL","PPS","AL",1
"101",1998,"DEPUTADO FEDERAL","PPS","SE",1
"102",1998,"DEPUTADO FEDERAL","PPS","SP",1
"103",1998,"DEPUTADO FEDERAL","PRONA","SP",1
"104",1998,"DEPUTADO FEDERAL","PSB","AL",1
"105",1998,"DEPUTADO FEDERAL","PSB","AP",1
"106",1998,"DEPUTADO FEDERAL","PSB","CE",1
"107",1998,"DEPUTADO FEDERAL","PSB","MA",1
"108",1998,"DEPUTADO FEDERAL","PSB","PE",8
"109",1998,"DEPUTADO FEDERAL","PSB","RJ",2
"110",1998,"DEPUTADO FEDERAL","PSB","RS",1
"111",1998,"DEPUTADO FEDERAL","PSB","SE",1
"112",1998,"DEPUTADO FEDERAL","PSB","SP",2
"113",1998,"DEPUTADO FEDERAL","PSC","MA",1
"114",1998,"DEPUTADO FEDERAL","PSC","RJ",1
"115",1998,"DEPUTADO FEDERAL","PSD","AL",1
"116",1998,"DEPUTADO FEDERAL","PSD","GO",1
"117",1998,"DEPUTADO FEDERAL","PSD","MA",1
"118",1998,"DEPUTADO FEDERAL","PSDB","AL",2
