"","ANO_ELEICAO","DESCRICAO_CARGO","SIGLA_PARTIDO","Total de cadeiras conquistadas","Percentual de cadeiras"
"1",1998,"DEPUTADO FEDERAL","PC do B",7,0.01364522417154
"2",1998,"DEPUTADO FEDERAL","PDT",25,0.0487329434697856
"3",1998,"DEPUTADO FEDERAL","PFL",105,0.204678362573099
"4",1998,"DEPUTADO FEDERAL","PL",12,0.0233918128654971
"5",1998,"DEPUTADO FEDERAL","PMDB",83,0.161793372319688
"6",1998,"DEPUTADO FEDERAL","PMN",2,0.00389863547758285
"7",1998,"DEPUTADO FEDERAL","PPB",60,0.116959064327485
"8",1998,"DEPUTADO FEDERAL","PPS",3,0.00584795321637427
"9",1998,"DEPUTADO FEDERAL","PRONA",1,0.00194931773879142
"10",1998,"DEPUTADO FEDERAL","PSB",18,0.0350877192982456
"11",1998,"DEPUTADO FEDERAL","PSC",2,0.00389863547758285
"12",1998,"DEPUTADO FEDERAL","PSD",3,0.00584795321637427
"13",1998,"DEPUTADO FEDERAL","PSDB",99,0.192982456140351
"14",1998,"DEPUTADO FEDERAL","PSL",1,0.00194931773879142
"15",1998,"DEPUTADO FEDERAL","PST",1,0.00194931773879142
"16",1998,"DEPUTADO FEDERAL","PT",59,0.115009746588694
"17",1998,"DEPUTADO FEDERAL","PTB",31,0.0604288499025341
"18",1998,"DEPUTADO FEDERAL","PV",1,0.00194931773879142
"19",2002,"DEPUTADO FEDERAL","PC do B",12,0.0233918128654971
"20",2002,"DEPUTADO FEDERAL","PDT",21,0.0409356725146199
"21",2002,"DEPUTADO FEDERAL","PFL",84,0.16374269005848
"22",2002,"DEPUTADO FEDERAL","PL",26,0.050682261208577
"23",2002,"DEPUTADO FEDERAL","PMDB",76,0.148148148148148
"24",2002,"DEPUTADO FEDERAL","PMN",1,0.00194931773879142
"25",2002,"DEPUTADO FEDERAL","PPB",48,0.0935672514619883
"26",2002,"DEPUTADO FEDERAL","PPS",15,0.0292397660818713
"27",2002,"DEPUTADO FEDERAL","PRONA",6,0.0116959064327485
"28",2002,"DEPUTADO FEDERAL","PSB",22,0.0428849902534113
"29",2002,"DEPUTADO FEDERAL","PSC",1,0.00194931773879142
"30",2002,"DEPUTADO FEDERAL","PSD",4,0.00779727095516569
"31",2002,"DEPUTADO FEDERAL","PSDB",70,0.1364522417154
"32",2002,"DEPUTADO FEDERAL","PSDC",1,0.00194931773879142
