"","Ano da eleição","UF","Cargo","Sigla do partido","Cadeiras conquistadas"
"1",1998,"AC","Deputado Estadual","PC do B",1
"2",1998,"AM","Deputado Estadual","PC do B",1
"3",1998,"BA","Deputado Estadual","PC do B",1
"4",1998,"CE","Deputado Estadual","PC do B",1
"5",1998,"GO","Deputado Estadual","PC do B",1
"6",1998,"PA","Deputado Estadual","PC do B",1
"7",1998,"PE","Deputado Estadual","PC do B",1
"8",1998,"RJ","Deputado Estadual","PC do B",1
"9",1998,"SP","Deputado Estadual","PC do B",2
"10",1998,"AP","Deputado Estadual","PDT",4
"11",1998,"BA","Deputado Estadual","PDT",1
"12",1998,"CE","Deputado Estadual","PDT",2
"13",1998,"ES","Deputado Estadual","PDT",2
"14",1998,"GO","Deputado Estadual","PDT",1
"15",1998,"MA","Deputado Estadual","PDT",3
"16",1998,"MG","Deputado Estadual","PDT",8
"17",1998,"MS","Deputado Estadual","PDT",3
"18",1998,"PA","Deputado Estadual","PDT",3
"19",1998,"PB","Deputado Estadual","PDT",2
"20",1998,"PE","Deputado Estadual","PDT",1
"21",1998,"PI","Deputado Estadual","PDT",2
"22",1998,"PR","Deputado Estadual","PDT",3
"23",1998,"RJ","Deputado Estadual","PDT",9
"24",1998,"RN","Deputado Estadual","PDT",1
"25",1998,"RO","Deputado Estadual","PDT",4
"26",1998,"RR","Deputado Estadual","PDT",5
"27",1998,"RS","Deputado Estadual","PDT",7
"28",1998,"SC","Deputado Estadual","PDT",2
"29",1998,"SE","Deputado Estadual","PDT",1
"30",1998,"SP","Deputado Estadual","PDT",7
"31",1998,"AC","Deputado Estadual","PFL",3
"32",1998,"AL","Deputado Estadual","PFL",2
"33",1998,"AM","Deputado Estadual","PFL",4
"34",1998,"AP","Deputado Estadual","PFL",3
"35",1998,"BA","Deputado Estadual","PFL",23
"36",1998,"CE","Deputado Estadual","PFL",2
"37",1998,"ES","Deputado Estadual","PFL",6
"38",1998,"GO","Deputado Estadual","PFL",2
"39",1998,"MA","Deputado Estadual","PFL",9
"40",1998,"MG","Deputado Estadual","PFL",7
"41",1998,"MS","Deputado Estadual","PFL",2
"42",1998,"MT","Deputado Estadual","PFL",5
"43",1998,"PA","Deputado Estadual","PFL",3
"44",1998,"PB","Deputado Estadual","PFL",5
"45",1998,"PE","Deputado Estadual","PFL",12
"46",1998,"PI","Deputado Estadual","PFL",10
"47",1998,"PR","Deputado Estadual","PFL",12
"48",1998,"RJ","Deputado Estadual","PFL",11
"49",1998,"RN","Deputado Estadual","PFL",5
"50",1998,"RO","Deputado Estadual","PFL",3
"51",1998,"RR","Deputado Estadual","PFL",4
"52",1998,"RS","Deputado Estadual","PFL",2
"53",1998,"SC","Deputado Estadual","PFL",9
"54",1998,"SE","Deputado Estadual","PFL",3
"55",1998,"SP","Deputado Estadual","PFL",11
"56",1998,"TO","Deputado Estadual","PFL",10
"57",1998,"AC","Deputado Estadual","PL",2
"58",1998,"AM","Deputado Estadual","PL",5
"59",1998,"AP","Deputado Estadual","PL",2
"60",1998,"BA","Deputado Estadual","PL",4
"61",1998,"CE","Deputado Estadual","PL",1
"62",1998,"GO","Deputado Estadual","PL",4
"63",1998,"MA","Deputado Estadual","PL",3
"64",1998,"MG","Deputado Estadual","PL",3
"65",1998,"MS","Deputado Estadual","PL",1
"66",1998,"MT","Deputado Estadual","PL",2
"67",1998,"PA","Deputado Estadual","PL",3
"68",1998,"PE","Deputado Estadual","PL",1
"69",1998,"RJ","Deputado Estadual","PL",1
"70",1998,"RN","Deputado Estadual","PL",2
"71",1998,"RO","Deputado Estadual","PL",2
"72",1998,"SP","Deputado Estadual","PL",5
"73",1998,"TO","Deputado Estadual","PL",1
"74",1998,"AC","Deputado Estadual","PMDB",4
"75",1998,"AL","Deputado Estadual","PMDB",2
"76",1998,"AM","Deputado Estadual","PMDB",1
"77",1998,"AP","Deputado Estadual","PMDB",4
"78",1998,"BA","Deputado Estadual","PMDB",4
"79",1998,"CE","Deputado Estadual","PMDB",6
"80",1998,"ES","Deputado Estadual","PMDB",4
"81",1998,"GO","Deputado Estadual","PMDB",16
"82",1998,"MA","Deputado Estadual","PMDB",4
"83",1998,"MG","Deputado Estadual","PMDB",9
"84",1998,"MS","Deputado Estadual","PMDB",4
"85",1998,"MT","Deputado Estadual","PMDB",4
"86",1998,"PA","Deputado Estadual","PMDB",8
"87",1998,"PB","Deputado Estadual","PMDB",18
"88",1998,"PE","Deputado Estadual","PMDB",4
"89",1998,"PI","Deputado Estadual","PMDB",9
"90",1998,"PR","Deputado Estadual","PMDB",7
"91",1998,"RJ","Deputado Estadual","PMDB",9
"92",1998,"RN","Deputado Estadual","PMDB",8
"93",1998,"RO","Deputado Estadual","PMDB",4
"94",1998,"RR","Deputado Estadual","PMDB",3
"95",1998,"RS","Deputado Estadual","PMDB",10
"96",1998,"SC","Deputado Estadual","PMDB",10
"97",1998,"SE","Deputado Estadual","PMDB",5
"98",1998,"SP","Deputado Estadual","PMDB",8
"99",1998,"TO","Deputado Estadual","PMDB",6
"100",1998,"AC","Deputado Estadual","PMN",4
"101",1998,"ES","Deputado Estadual","PMN",1
"102",1998,"MA","Deputado Estadual","PMN",1
"103",1998,"MG","Deputado Estadual","PMN",3
"104",1998,"SE","Deputado Estadual","PMN",2
"105",1998,"AC","Deputado Estadual","PPB",5
"106",1998,"AM","Deputado Estadual","PPB",2
"107",1998,"BA","Deputado Estadual","PPB",6
"108",1998,"CE","Deputado Estadual","PPB",2
"109",1998,"ES","Deputado Estadual","PPB",1
"110",1998,"GO","Deputado Estadual","PPB",3
"111",1998,"MA","Deputado Estadual","PPB",4
"112",1998,"MG","Deputado Estadual","PPB",7
"113",1998,"MT","Deputado Estadual","PPB",1
"114",1998,"PA","Deputado Estadual","PPB",4
"115",1998,"PB","Deputado Estadual","PPB",1
"116",1998,"PE","Deputado Estadual","PPB",3
"117",1998,"PI","Deputado Estadual","PPB",3
"118",1998,"PR","Deputado Estadual","PPB",8
"119",1998,"RJ","Deputado Estadual","PPB",5
"120",1998,"RN","Deputado Estadual","PPB",3
"121",1998,"RO","Deputado Estadual","PPB",2
"122",1998,"RR","Deputado Estadual","PPB",5
"123",1998,"RS","Deputado Estadual","PPB",11
"124",1998,"SC","Deputado Estadual","PPB",10
"125",1998,"SE","Deputado Estadual","PPB",2
"126",1998,"SP","Deputado Estadual","PPB",11
"127",1998,"TO","Deputado Estadual","PPB",6
"128",1998,"AM","Deputado Estadual","PPS",1
"129",1998,"CE","Deputado Estadual","PPS",4
"130",1998,"ES","Deputado Estadual","PPS",4
"131",1998,"MG","Deputado Estadual","PPS",2
"132",1998,"MS","Deputado Estadual","PPS",2
"133",1998,"MT","Deputado Estadual","PPS",1
"134",1998,"PA","Deputado Estadual","PPS",1
"135",1998,"RJ","Deputado Estadual","PPS",1
"136",1998,"SE","Deputado Estadual","PPS",1
"137",1998,"SP","Deputado Estadual","PPS",3
"138",1998,"RJ","Deputado Estadual","PRONA",1
"139",1998,"SP","Deputado Estadual","PRONA",3
"140",1998,"MA","Deputado Estadual","PRP",2
"141",1998,"SP","Deputado Estadual","PRP",1
"142",1998,"MA","Deputado Estadual","PRTB",2
"143",1998,"AL","Deputado Estadual","PSB",3
"144",1998,"AP","Deputado Estadual","PSB",3
"145",1998,"BA","Deputado Estadual","PSB",4
"146",1998,"CE","Deputado Estadual","PSB",1
"147",1998,"ES","Deputado Estadual","PSB",3
"148",1998,"MA","Deputado Estadual","PSB",1
"149",1998,"MG","Deputado Estadual","PSB",5
"150",1998,"MT","Deputado Estadual","PSB",1
"151",1998,"PA","Deputado Estadual","PSB",1
"152",1998,"PE","Deputado Estadual","PSB",12
"153",1998,"PI","Deputado Estadual","PSB",1
"154",1998,"PR","Deputado Estadual","PSB",2
"155",1998,"RJ","Deputado Estadual","PSB",3
"156",1998,"RN","Deputado Estadual","PSB",2
"157",1998,"RS","Deputado Estadual","PSB",1
"158",1998,"SE","Deputado Estadual","PSB",2
"159",1998,"SP","Deputado Estadual","PSB",2
"160",1998,"AM","Deputado Estadual","PSC",1
"161",1998,"BA","Deputado Estadual","PSC",3
"162",1998,"CE","Deputado Estadual","PSC",1
"163",1998,"GO","Deputado Estadual","PSC",1
