"","Ano da eleição","UF","Código do município","Nome do município","Cargo","Cadeiras disponíveis","Reapresentação","Reeleitos","Conservação","Renovação bruta","Renovação líquida"
"1",2004,"AC","01007","Bujari","Vereador",9,5,2," 40,00"," 77,78"," 60,00"
"2",2004,"AC","01023","Porto Acre","Vereador",9,5,1," 20,00"," 88,89"," 80,00"
"3",2004,"AC","01392","Rio Branco","Vereador",14,15,2," 13,33"," 88,89"," 86,67"
"4",2008,"AC","01007","Bujari","Vereador",9,8,4," 50,00"," 55,56"," 50,00"
"5",2008,"AC","01015","Capixaba","Vereador",9,6,3," 50,00"," 66,67"," 50,00"
"6",2008,"AC","01023","Porto Acre","Vereador",9,4,2," 50,00"," 77,78"," 50,00"
"7",2008,"AC","01031","Santa Rosa Do Purus","Vereador",9,2,1," 50,00"," 88,89"," 50,00"
"8",2008,"AC","01040","Marechal Thaumaturgo","Vereador",9,5,3," 60,00"," 66,67"," 40,00"
"9",2008,"AC","01058","Brasileia","Vereador",9,7,3," 42,86"," 66,67"," 57,14"
"10",2008,"AC","01074","Cruzeiro Do Sul","Vereador",10,8,1," 12,50"," 90,00"," 87,50"
"11",2008,"AC","01082","Rodrigues Alves","Vereador",9,7,3," 42,86"," 66,67"," 57,14"
"12",2008,"AC","01090","Mancio Lima","Vereador",9,7,3," 42,86"," 66,67"," 57,14"
"13",2008,"AC","01104","Jordao","Vereador",9,8,7," 87,50"," 22,22"," 12,50"
"14",2008,"AC","01112","Epitaciolandia","Vereador",9,6,3," 50,00"," 66,67"," 50,00"
"15",2008,"AC","01120","Acrelandia","Vereador",9,3,1," 33,33"," 88,89"," 66,67"
"16",2008,"AC","01139","Feijo","Vereador",9,4,3," 75,00"," 66,67"," 25,00"
"17",2008,"AC","01392","Rio Branco","Vereador",14,11,6," 54,55"," 57,14"," 45,45"
"18",2008,"AC","01457","Sena Madureira","Vereador",9,7,3," 42,86"," 66,67"," 57,14"
"19",2008,"AC","01473","Tarauaca","Vereador",9,9,7," 77,78"," 22,22"," 22,22"
"20",2008,"AC","01490","Xapuri","Vereador",9,9,4," 44,44"," 55,56"," 55,56"
"21",2008,"AC","01511","Placido De Castro","Vereador",9,8,3," 37,50"," 66,67"," 62,50"
"22",2008,"AC","01538","Senador Guiomard","Vereador",9,9,3," 33,33"," 66,67"," 66,67"
"23",2008,"AC","01554","Manoel Urbano","Vereador",9,6,3," 50,00"," 66,67"," 50,00"
"24",2008,"AC","01570","Assis Brasil","Vereador",9,5,4," 80,00"," 55,56"," 20,00"
"25",2012,"AC","01007","Bujari","Vereador",9,2,2,"100,00"," 77,78","  0,00"
"26",2012,"AC","01015","Capixaba","Vereador",9,3,1," 33,33"," 88,89"," 66,67"
"27",2012,"AC","01023","Porto Acre","Vereador",9,6,1," 16,67"," 88,89"," 83,33"
"28",2012,"AC","01031","Santa Rosa Do Purus","Vereador",9,6,3," 50,00"," 66,67"," 50,00"
"29",2012,"AC","01040","Marechal Thaumaturgo","Vereador",9,5,3," 60,00"," 66,67"," 40,00"
"30",2012,"AC","01058","Brasileia","Vereador",11,4,2," 50,00"," 77,78"," 50,00"
"31",2012,"AC","01074","Cruzeiro Do Sul","Vereador",14,4,2," 50,00"," 80,00"," 50,00"
"32",2012,"AC","01082","Rodrigues Alves","Vereador",9,8,5," 62,50"," 44,44"," 37,50"
"33",2012,"AC","01090","Mancio Lima","Vereador",9,9,3," 33,33"," 66,67"," 66,67"
"34",2012,"AC","01104","Jordao","Vereador",9,4,2," 50,00"," 77,78"," 50,00"
"35",2012,"AC","01112","Epitaciolandia","Vereador",9,5,2," 40,00"," 77,78"," 60,00"
