"","Ano da eleição","UF","Cargo","Cadeiras disponíveis","Reapresentação","Reeleitos","Conservação","Renovação bruta","Renovação líquida"
"1",2002,"AC","Deputado Federal",8,4,2," 50,00","75,00","50,00"
"2",2002,"AL","Deputado Federal",9,7,4," 57,14","55,56","42,86"
"3",2002,"AM","Deputado Federal",8,5,5,"100,00","37,50"," 0,00"
"4",2002,"AP","Deputado Federal",8,6,2," 33,33","75,00","66,67"
"5",2002,"BA","Deputado Federal",39,27,19," 70,37","51,28","29,63"
"6",2002,"CE","Deputado Federal",22,18,16," 88,89","27,27","11,11"
"7",2002,"DF","Deputado Federal",8,3,2," 66,67","75,00","33,33"
"8",2002,"ES","Deputado Federal",10,5,4," 80,00","60,00","20,00"
"9",2002,"GO","Deputado Federal",17,12,7," 58,33","58,82","41,67"
"10",2002,"MA","Deputado Federal",18,15,12," 80,00","33,33","20,00"
"11",2002,"MG","Deputado Federal",53,39,32," 82,05","39,62","17,95"
"12",2002,"MS","Deputado Federal",8,4,3," 75,00","62,50","25,00"
"13",2002,"MT","Deputado Federal",8,6,4," 66,67","50,00","33,33"
"14",2002,"PA","Deputado Federal",17,11,10," 90,91","41,18"," 9,09"
"15",2002,"PB","Deputado Federal",12,7,4," 57,14","66,67","42,86"
"16",2002,"PE","Deputado Federal",25,22,16," 72,73","36,00","27,27"
"17",2002,"PI","Deputado Federal",10,6,5," 83,33","50,00","16,67"
"18",2002,"PR","Deputado Federal",30,23,20," 86,96","33,33","13,04"
"19",2002,"RJ","Deputado Federal",46,38,21," 55,26","54,35","44,74"
"20",2002,"RN","Deputado Federal",8,7,4," 57,14","50,00","42,86"
"21",2002,"RO","Deputado Federal",8,5,5,"100,00","37,50"," 0,00"
"22",2002,"RR","Deputado Federal",8,6,3," 50,00","62,50","50,00"
"23",2002,"RS","Deputado Federal",31,21,16," 76,19","48,39","23,81"
"24",2002,"SC","Deputado Federal",16,12,7," 58,33","56,25","41,67"
"25",2002,"SE","Deputado Federal",8,5,1," 20,00","87,50","80,00"
"26",2002,"SP","Deputado Federal",70,50,36," 72,00","48,57","28,00"
"27",2002,"TO","Deputado Federal",8,5,3," 60,00","62,50","40,00"
"28",2006,"AC","Deputado Federal",8,7,3," 42,86","62,50","57,14"
"29",2006,"AL","Deputado Federal",9,7,4," 57,14","55,56","42,86"
"30",2006,"AM","Deputado Federal",8,6,4," 66,67","50,00","33,33"
"31",2006,"AP","Deputado Federal",8,7,2," 28,57","75,00","71,43"
"32",2006,"BA","Deputado Federal",39,35,28," 80,00","28,21","20,00"
"33",2006,"CE","Deputado Federal",22,12,9," 75,00","59,09","25,00"
"34",2006,"DF","Deputado Federal",8,4,2," 50,00","75,00","50,00"
"35",2006,"ES","Deputado Federal",10,8,4," 50,00","60,00","50,00"
"36",2006,"GO","Deputado Federal",17,15,13," 86,67","23,53","13,33"
"37",2006,"MA","Deputado Federal",18,13,8," 61,54","55,56","38,46"
"38",2006,"MG","Deputado Federal",53,42,26," 61,90","50,94","38,10"
"39",2006,"MS","Deputado Federal",8,7,6," 85,71","25,00","14,29"
"40",2006,"MT","Deputado Federal",8,7,4," 57,14","50,00","42,86"
"41",2006,"PA","Deputado Federal",17,12,9," 75,00","47,06","25,00"
"42",2006,"PB","Deputado Federal",12,8,5," 62,50","58,33","37,50"
"43",2006,"PE","Deputado Federal",25,18,14," 77,78","44,00","22,22"
"44",2006,"PI","Deputado Federal",10,8,6," 75,00","40,00","25,00"
"45",2006,"PR","Deputado Federal",30,26,20," 76,92","33,33","23,08"
"46",2006,"RJ","Deputado Federal",46,29,20," 68,97","56,52","31,03"
"47",2006,"RN","Deputado Federal",8,5,4," 80,00","50,00","20,00"
"48",2006,"RO","Deputado Federal",8,6,3," 50,00","62,50","50,00"
"49",2006,"RR","Deputado Federal",8,6,3," 50,00","62,50","50,00"
"50",2006,"RS","Deputado Federal",31,24,17," 70,83","45,16","29,17"
"51",2006,"SC","Deputado Federal",16,14,8," 57,14","50,00","42,86"
"52",2006,"SE","Deputado Federal",8,5,3," 60,00","62,50","40,00"
"53",2006,"SP","Deputado Federal",70,55,29," 52,73","58,57","47,27"
"54",2006,"TO","Deputado Federal",8,4,2," 50,00","75,00","50,00"
"55",2010,"AC","Deputado Federal",8,5,4," 80,00","50,00","20,00"
"56",2010,"AL","Deputado Federal",9,5,3," 60,00","66,67","40,00"
"57",2010,"AM","Deputado Federal",8,7,6," 85,71","25,00","14,29"
"58",2010,"AP","Deputado Federal",8,8,6," 75,00","25,00","25,00"
"59",2010,"BA","Deputado Federal",39,29,20," 68,97","48,72","31,03"
"60",2010,"CE","Deputado Federal",22,18,13," 72,22","40,91","27,78"
"61",2010,"DF","Deputado Federal",8,3,1," 33,33","87,50","66,67"
"62",2010,"ES","Deputado Federal",10,7,5," 71,43","50,00","28,57"
"63",2010,"GO","Deputado Federal",17,12,12,"100,00","29,41"," 0,00"
"64",2010,"MA","Deputado Federal",18,14,12," 85,71","33,33","14,29"
"65",2010,"MG","Deputado Federal",53,41,34," 82,93","35,85","17,07"
"66",2010,"MS","Deputado Federal",8,4,3," 75,00","62,50","25,00"
"67",2010,"MT","Deputado Federal",8,7,6," 85,71","25,00","14,29"
"68",2010,"PA","Deputado Federal",17,13,12," 92,31","29,41"," 7,69"
"69",2010,"PB","Deputado Federal",12,6,5," 83,33","58,33","16,67"
"70",2010,"PE","Deputado Federal",25,18,13," 72,22","48,00","27,78"
"71",2010,"PI","Deputado Federal",10,6,5," 83,33","50,00","16,67"
"72",2010,"PR","Deputado Federal",30,23,19," 82,61","36,67","17,39"
"73",2010,"RJ","Deputado Federal",46,34,21," 61,76","54,35","38,24"
"74",2010,"RN","Deputado Federal",8,7,6," 85,71","25,00","14,29"
"75",2010,"RO","Deputado Federal",8,6,4," 66,67","50,00","33,33"
"76",2010,"RR","Deputado Federal",8,5,2," 40,00","75,00","60,00"
"77",2010,"RS","Deputado Federal",31,23,20," 86,96","35,48","13,04"
"78",2010,"SC","Deputado Federal",16,9,6," 66,67","62,50","33,33"
"79",2010,"SE","Deputado Federal",8,3,2," 66,67","75,00","33,33"
"80",2010,"SP","Deputado Federal",70,59,39," 66,10","44,29","33,90"
"81",2010,"TO","Deputado Federal",8,6,3," 50,00","62,50","50,00"
"82",2014,"AC","Deputado Federal",8,3,2," 66,67","75,00","33,33"
"83",2014,"AL","Deputado Federal",9,5,3," 60,00","66,67","40,00"
"84",2014,"AM","Deputado Federal",8,5,3," 60,00","62,50","40,00"
"85",2014,"AP","Deputado Federal",8,7,2," 28,57","75,00","71,43"
"86",2014,"BA","Deputado Federal",39,31,23," 74,19","41,03","25,81"
"87",2014,"CE","Deputado Federal",22,17,12," 70,59","45,45","29,41"
"88",2014,"DF","Deputado Federal",8,3,3,"100,00","62,50"," 0,00"
"89",2014,"ES","Deputado Federal",10,5,4," 80,00","60,00","20,00"
"90",2014,"GO","Deputado Federal",17,10,8," 80,00","52,94","20,00"
"91",2014,"MA","Deputado Federal",18,8,4," 50,00","77,78","50,00"
"92",2014,"MG","Deputado Federal",53,38,33," 86,84","37,74","13,16"
"93",2014,"MS","Deputado Federal",8,6,3," 50,00","62,50","50,00"
"94",2014,"MT","Deputado Federal",8,4,3," 75,00","62,50","25,00"
"95",2014,"PA","Deputado Federal",17,13,9," 69,23","47,06","30,77"
"96",2014,"PB","Deputado Federal",12,9,9,"100,00","25,00"," 0,00"
"97",2014,"PE","Deputado Federal",25,17,12," 70,59","52,00","29,41"
"98",2014,"PI","Deputado Federal",10,9,6," 66,67","40,00","33,33"
"99",2014,"PR","Deputado Federal",30,21,17," 80,95","43,33","19,05"
"100",2014,"RJ","Deputado Federal",46,34,25," 73,53","45,65","26,47"
"101",2014,"RN","Deputado Federal",8,4,2," 50,00","75,00","50,00"
"102",2014,"RO","Deputado Federal",8,3,3,"100,00","62,50"," 0,00"
"103",2014,"RR","Deputado Federal",8,3,2," 66,67","75,00","33,33"
"104",2014,"RS","Deputado Federal",31,25,22," 88,00","29,03","12,00"
"105",2014,"SC","Deputado Federal",16,13,11," 84,62","31,25","15,38"
"106",2014,"SE","Deputado Federal",8,5,3," 60,00","62,50","40,00"
"107",2014,"SP","Deputado Federal",70,50,35," 70,00","50,00","30,00"
"108",2014,"TO","Deputado Federal",8,5,4," 80,00","50,00","20,00"
"109",2018,"AC","Deputado Federal",8,7,3," 42,86","62,50","57,14"
"110",2018,"AL","Deputado Federal",9,7,4," 57,14","55,56","42,86"
"111",2018,"AM","Deputado Federal",8,4,2," 50,00","75,00","50,00"
"112",2018,"AP","Deputado Federal",8,7,3," 42,86","62,50","57,14"
"113",2018,"BA","Deputado Federal",39,33,25," 75,76","35,90","24,24"
"114",2018,"CE","Deputado Federal",22,19,8," 42,11","63,64","57,89"
"115",2018,"DF","Deputado Federal",8,3,1," 33,33","87,50","66,67"
