"","Ano da eleição","UF","Cargo","Cadeiras oferecidas","Votos válidos ","Sigla do partido","Votos válidos do partido","Quociente eleitoral","Quociente partidário"
"1",1998,"AC","DEPUTADO ESTADUAL",24,219824,"PC do B",5186,"9.159,32",0.57
"2",1998,"AC","DEPUTADO ESTADUAL",24,219824,"PDT",3879,"9.159,32",0.42
"3",1998,"AC","DEPUTADO ESTADUAL",24,219824,"PFL",25322,"9.159,32",2.76
"4",1998,"AC","DEPUTADO ESTADUAL",24,219824,"PL",7224,"9.159,32",0.79
"5",1998,"AC","DEPUTADO ESTADUAL",24,219824,"PMDB",41312,"9.159,32",4.51
"6",1998,"AC","DEPUTADO ESTADUAL",24,219824,"PMN",26159,"9.159,32",2.86
"7",1998,"AC","DEPUTADO ESTADUAL",24,219824,"PPB",42824,"9.159,32",4.68
"8",1998,"AC","DEPUTADO ESTADUAL",24,219824,"PPS",831,"9.159,32",0.09
"9",1998,"AC","DEPUTADO ESTADUAL",24,219824,"PRONA",2186,"9.159,32",0.24
"10",1998,"AC","DEPUTADO ESTADUAL",24,219824,"PSB",6428,"9.159,32",0.7
"11",1998,"AC","DEPUTADO ESTADUAL",24,219824,"PSDB",23209,"9.159,32",2.53
"12",1998,"AC","DEPUTADO ESTADUAL",24,219824,"PSL",45,"9.159,32",0
"13",1998,"AC","DEPUTADO ESTADUAL",24,219824,"PT",29970,"9.159,32",3.27
"14",1998,"AC","DEPUTADO ESTADUAL",24,219824,"PT do B",1431,"9.159,32",0.16
"15",1998,"AC","DEPUTADO ESTADUAL",24,219824,"PTB",2143,"9.159,32",0.23
"16",1998,"AC","DEPUTADO ESTADUAL",24,219824,"PV",1675,"9.159,32",0.18
"17",2002,"AC","DEPUTADO ESTADUAL",24,279077,"PC do B",8639,"11.628,20",0.74
"18",2002,"AC","DEPUTADO ESTADUAL",24,279077,"PDT",6150,"11.628,20",0.53
"19",2002,"AC","DEPUTADO ESTADUAL",24,279077,"PFL",12506,"11.628,20",1.08
