"","Ano da eleição","UF","Cargo","Cadeiras oferecidas","Votos válidos ","Sigla do partido","Votos válidos do partido","Quociente eleitoral","Quociente partidário"
"1",1998,"AC","Deputado Federal",8,209552,"PC do B",1712,"26.194",0.07
"2",1998,"AC","Deputado Federal",8,209552,"PDT",10053,"26.194",0.38
"3",1998,"AC","Deputado Federal",8,209552,"PFL",72987,"26.194",2.79
"4",1998,"AC","Deputado Federal",8,209552,"PL",1358,"26.194",0.05
"5",1998,"AC","Deputado Federal",8,209552,"PMDB",29755,"26.194",1.14
"6",1998,"AC","Deputado Federal",8,209552,"PMN",1210,"26.194",0.05
"7",1998,"AC","Deputado Federal",8,209552,"PPB",29472,"26.194",1.13
"8",1998,"AC","Deputado Federal",8,209552,"PPS",533,"26.194",0.02
"9",1998,"AC","Deputado Federal",8,209552,"PRONA",931,"26.194",0.04
"10",1998,"AC","Deputado Federal",8,209552,"PSB",890,"26.194",0.03
"11",1998,"AC","Deputado Federal",8,209552,"PSDB",12017,"26.194",0.46
"12",1998,"AC","Deputado Federal",8,209552,"PSL",40,"26.194",0
"13",1998,"AC","Deputado Federal",8,209552,"PSTU",58,"26.194",0
"14",1998,"AC","Deputado Federal",8,209552,"PT",47880,"26.194",1.83
"15",1998,"AC","Deputado Federal",8,209552,"PT do B",328,"26.194",0.01
"16",1998,"AC","Deputado Federal",8,209552,"PTB",238,"26.194",0.01
"17",1998,"AC","Deputado Federal",8,209552,"PV",90,"26.194",0
"18",2002,"AC","Deputado Federal",8,278774,"PC do B",22835,"34.846,75",0.66
"19",2002,"AC","Deputado Federal",8,278774,"PDT",4570,"34.846,75",0.13
"20",2002,"AC","Deputado Federal",8,278774,"PFL",7062,"34.846,75",0.2
"21",2002,"AC","Deputado Federal",8,278774,"PL",4422,"34.846,75",0.13
"22",2002,"AC","Deputado Federal",8,278774,"PMDB",29489,"34.846,75",0.85
"23",2002,"AC","Deputado Federal",8,278774,"PMN",9911,"34.846,75",0.28
"24",2002,"AC","Deputado Federal",8,278774,"PPB",41059,"34.846,75",1.18
"25",2002,"AC","Deputado Federal",8,278774,"PPS",33863,"34.846,75",0.97
"26",2002,"AC","Deputado Federal",8,278774,"PSB",19876,"34.846,75",0.57
