"","Ano da eleição","UF","Código do município","Nome do município","Cargo","Volatilidade eleitoral","Volatilidade parlamentar"
"1",2004,"AC","01007","Bujari","Vereador"," 6,02"," 6,00"
"2",2004,"AC","01023","Porto Acre","Vereador"," 8,34"," 8,39"
"3",2004,"AC","01392","Rio Branco","Vereador"," 9,52"," 9,53"
"4",2008,"AC","01007","Bujari","Vereador"," 6,52"," 6,56"
"5",2008,"AC","01015","Capixaba","Vereador"," 5,57"," 5,56"
"6",2008,"AC","01023","Porto Acre","Vereador"," 9,61"," 9,67"
"7",2008,"AC","01031","Santa Rosa Do Purus","Vereador"," 4,70"," 4,67"
"8",2008,"AC","01040","Marechal Thaumaturgo","Vereador"," 5,07"," 5,11"
"9",2008,"AC","01058","Brasileia","Vereador"," 5,00"," 5,00"
"10",2008,"AC","01074","Cruzeiro Do Sul","Vereador"," 9,06"," 9,10"
"11",2008,"AC","01082","Rodrigues Alves","Vereador"," 4,15"," 4,22"
"12",2008,"AC","01090","Mancio Lima","Vereador"," 4,49"," 4,50"
"13",2008,"AC","01104","Jordao","Vereador"," 3,54"," 3,56"
"14",2008,"AC","01112","Epitaciolandia","Vereador"," 9,32"," 9,28"
"15",2008,"AC","01120","Acrelandia","Vereador"," 5,96"," 6,00"
"16",2008,"AC","01139","Feijo","Vereador"," 5,39"," 5,50"
"17",2008,"AC","01392","Rio Branco","Vereador","12,12","12,14"
"18",2008,"AC","01457","Sena Madureira","Vereador"," 7,79"," 7,89"
"19",2008,"AC","01473","Tarauaca","Vereador"," 8,14"," 8,11"
"20",2008,"AC","01490","Xapuri","Vereador"," 6,16"," 6,17"
"21",2008,"AC","01511","Placido De Castro","Vereador"," 8,59"," 8,56"
"22",2008,"AC","01538","Senador Guiomard","Vereador"," 8,17"," 8,17"
"23",2008,"AC","01554","Manoel Urbano","Vereador"," 4,52"," 4,56"
"24",2008,"AC","01570","Assis Brasil","Vereador"," 5,67"," 5,72"
"25",2012,"AC","01007","Bujari","Vereador"," 9,16"," 9,22"
"26",2012,"AC","01015","Capixaba","Vereador"," 7,11"," 7,06"
"27",2012,"AC","01023","Porto Acre","Vereador"," 9,50"," 9,50"
"28",2012,"AC","01031","Santa Rosa Do Purus","Vereador"," 8,30"," 8,39"
"29",2012,"AC","01040","Marechal Thaumaturgo","Vereador"," 6,69"," 6,61"
"30",2012,"AC","01058","Brasileia","Vereador"," 9,96","10,00"
"31",2012,"AC","01074","Cruzeiro Do Sul","Vereador"," 9,51"," 9,50"
"32",2012,"AC","01082","Rodrigues Alves","Vereador"," 4,58"," 4,56"
"33",2012,"AC","01090","Mancio Lima","Vereador"," 4,51"," 4,50"
"34",2012,"AC","01104","Jordao","Vereador"," 3,50"," 3,50"
"35",2012,"AC","01112","Epitaciolandia","Vereador"," 8,97"," 9,00"
"36",2012,"AC","01120","Acrelandia","Vereador"," 8,33"," 8,33"
"37",2012,"AC","01139","Feijo","Vereador"," 5,08"," 5,00"
"38",2012,"AC","01392","Rio Branco","Vereador","13,01","13,04"
"39",2012,"AC","01457","Sena Madureira","Vereador"," 9,57"," 9,61"
"40",2012,"AC","01473","Tarauaca","Vereador"," 7,79"," 7,77"
"41",2012,"AC","01490","Xapuri","Vereador"," 5,98"," 6,00"
"42",2012,"AC","01511","Placido De Castro","Vereador"," 9,00"," 9,00"
"43",2012,"AC","01538","Senador Guiomard","Vereador"," 9,05"," 9,00"
"44",2012,"AC","01554","Manoel Urbano","Vereador"," 7,27"," 7,28"
"45",2012,"AC","01570","Assis Brasil","Vereador"," 5,50"," 5,50"
"46",2016,"AC","01007","Bujari","Vereador","10,07","10,17"
"47",2016,"AC","01015","Capixaba","Vereador"," 7,50"," 7,50"
"48",2016,"AC","01023","Porto Acre","Vereador","11,06","11,00"
"49",2016,"AC","01031","Santa Rosa Do Purus","Vereador"," 8,54"," 8,61"
"50",2016,"AC","01040","Marechal Thaumaturgo","Vereador"," 7,57"," 7,61"
"51",2016,"AC","01058","Brasileia","Vereador","10,02","10,00"
"52",2016,"AC","01066","Porto Walter","Vereador"," 7,26"," 7,22"
"53",2016,"AC","01074","Cruzeiro Do Sul","Vereador","13,75","13,75"
"54",2016,"AC","01082","Rodrigues Alves","Vereador"," 6,75"," 6,72"
"55",2016,"AC","01090","Mancio Lima","Vereador"," 7,27"," 7,33"
"56",2016,"AC","01104","Jordao","Vereador"," 4,15"," 4,22"
"57",2016,"AC","01112","Epitaciolandia","Vereador","11,09","11,00"
"58",2016,"AC","01120","Acrelandia","Vereador"," 8,56"," 8,56"
"59",2016,"AC","01139","Feijo","Vereador"," 6,61"," 6,62"
"60",2016,"AC","01392","Rio Branco","Vereador","14,05","14,03"
"61",2016,"AC","01457","Sena Madureira","Vereador","12,64","12,65"
"62",2016,"AC","01473","Tarauaca","Vereador"," 8,73"," 8,77"
"63",2016,"AC","01490","Xapuri","Vereador"," 6,02"," 6,00"
"64",2016,"AC","01511","Placido De Castro","Vereador"," 9,50"," 9,50"
"65",2016,"AC","01538","Senador Guiomard","Vereador","10,57","10,56"
"66",2016,"AC","01554","Manoel Urbano","Vereador"," 6,99"," 7,00"
"67",2016,"AC","01570","Assis Brasil","Vereador"," 8,17"," 8,22"
"68",2004,"AL","27006","Paripueira","Vereador","10,99","11,00"
"69",2004,"AL","27014","Agua Branca","Vereador"," 3,77"," 3,78"
"70",2004,"AL","27022","Pariconha","Vereador"," 4,70"," 4,67"
"71",2004,"AL","27030","Anadia","Vereador"," 5,95"," 5,94"
"72",2004,"AL","27049","Estrela De Alagoas","Vereador"," 6,99"," 7,00"
"73",2004,"AL","27057","Arapiraca","Vereador"," 9,19"," 9,20"
"74",2004,"AL","27065","Jequia Da Praia","Vereador"," 9,49"," 9,50"
"75",2004,"AL","27073","Atalaia","Vereador"," 9,75"," 9,73"
"76",2004,"AL","27081","Campestre","Vereador"," 7,16"," 7,17"
"77",2004,"AL","27090","Barra De Santo Antonio","Vereador","10,10","10,11"
"78",2004,"AL","27111","Barra De Sao Miguel","Vereador"," 7,85"," 7,83"
"79",2004,"AL","27138","Batalha","Vereador"," 8,26"," 8,22"
"80",2004,"AL","27154","Belem","Vereador"," 4,50"," 4,50"
"81",2004,"AL","27170","Belo Monte","Vereador"," 4,50"," 4,50"
"82",2004,"AL","27197","Boca Da Mata","Vereador"," 6,99"," 7,00"
"83",2004,"AL","27219","Branquinha","Vereador"," 4,73"," 4,72"
"84",2004,"AL","27235","Cacimbinhas","Vereador"," 4,50"," 4,50"
"85",2004,"AL","27251","Cajueiro","Vereador"," 6,00"," 6,00"
"86",2004,"AL","27278","Campo Alegre","Vereador"," 7,50"," 7,50"
"87",2004,"AL","27294","Campo Grande","Vereador"," 6,03"," 6,06"
"88",2004,"AL","27316","Canapi","Vereador"," 3,61"," 3,61"
"89",2004,"AL","27332","Capela","Vereador"," 6,26"," 6,33"
"90",2004,"AL","27359","Carneiros","Vereador"," 4,21"," 4,28"
"91",2004,"AL","27375","Cha Preta","Vereador"," 4,98"," 5,00"
"92",2004,"AL","27391","Coite Do Noia","Vereador"," 3,00"," 3,00"
"93",2004,"AL","27413","Colonia Leopoldina","Vereador"," 6,32"," 6,33"
"94",2004,"AL","27430","Coqueiro Seco","Vereador"," 5,14"," 5,11"
"95",2004,"AL","27456","Coruripe","Vereador"," 6,03"," 6,04"
"96",2004,"AL","27472","Delmiro Gouveia","Vereador"," 6,68"," 6,65"
"97",2004,"AL","27499","Dois Riachos","Vereador"," 4,17"," 4,17"
"98",2004,"AL","27510","Feira Grande","Vereador"," 8,06"," 8,11"
"99",2004,"AL","27537","Feliz Deserto","Vereador"," 5,10"," 5,06"
"100",2004,"AL","27553","Flexeiras","Vereador"," 5,67"," 5,67"
"101",2004,"AL","27570","Girau Do Ponciano","Vereador"," 7,66"," 7,65"
"102",2004,"AL","27596","Ibateguara","Vereador"," 8,05"," 8,06"
"103",2004,"AL","27618","Igaci","Vereador"," 5,98"," 5,95"
"104",2004,"AL","27634","Igreja Nova","Vereador"," 3,73"," 3,72"
"105",2004,"AL","27650","Inhapi","Vereador"," 4,31"," 4,28"
"106",2004,"AL","27677","Jacare Dos Homens","Vereador"," 4,00"," 4,00"
"107",2004,"AL","27693","Jacuipe","Vereador"," 5,54"," 5,56"
"108",2004,"AL","27715","Japaratinga","Vereador"," 7,35"," 7,39"
"109",2004,"AL","27731","Jaramataia","Vereador"," 6,05"," 6,06"
"110",2004,"AL","27758","Joaquim Gomes","Vereador"," 7,84"," 7,78"
"111",2004,"AL","27774","Jundia","Vereador"," 6,29"," 6,28"
"112",2004,"AL","27790","Junqueiro","Vereador"," 4,20"," 4,25"
"113",2004,"AL","27812","Lagoa Da Canoa","Vereador"," 4,77"," 4,78"
"114",2004,"AL","27839","Limoeiro De Anadia","Vereador"," 3,50"," 3,50"
"115",2004,"AL","27855","Maceio","Vereador","12,50","12,50"
"116",2004,"AL","27871","Major Isidoro","Vereador"," 9,30"," 9,28"
"117",2004,"AL","27898","Maragogi","Vereador"," 6,67"," 6,67"
"118",2004,"AL","27910","Maravilha","Vereador"," 4,33"," 4,33"
"119",2004,"AL","27936","Marechal Deodoro","Vereador","10,18","10,18"
"120",2004,"AL","27952","Maribondo","Vereador","10,70","10,67"
"121",2004,"AL","27979","Mar Vermelho","Vereador"," 5,81"," 5,83"
"122",2004,"AL","27995","Mata Grande","Vereador"," 4,33"," 4,28"
"123",2004,"AL","28010","Matriz De Camaragibe","Vereador"," 9,00"," 9,00"
"124",2004,"AL","28037","Messias","Vereador"," 5,53"," 5,50"
"125",2004,"AL","28053","Minador Do Negrao","Vereador"," 2,54"," 2,50"
"126",2004,"AL","28070","Monteiropolis","Vereador"," 5,47"," 5,50"
"127",2004,"AL","28096","Murici","Vereador"," 7,82"," 7,82"
"128",2004,"AL","28118","Novo Lino","Vereador"," 8,50"," 8,50"
"129",2004,"AL","28134","Olho D Agua Das Flores","Vereador"," 6,60"," 6,61"
"130",2004,"AL","28150","Olho D Agua Do Casado","Vereador"," 4,00"," 4,00"
"131",2004,"AL","28177","Olho D Agua Grande","Vereador"," 3,37"," 3,33"
"132",2004,"AL","28193","Olivenca","Vereador"," 6,23"," 6,28"
"133",2004,"AL","28215","Ouro Branco","Vereador"," 7,09"," 7,17"
"134",2004,"AL","28231","Palestina","Vereador"," 4,68"," 4,67"
"135",2004,"AL","28258","Palmeira Dos Indios","Vereador","11,69","11,73"
"136",2004,"AL","28274","Pao De Acucar","Vereador"," 7,04"," 7,00"
"137",2004,"AL","28290","Passo De Camaragibe","Vereador"," 8,36"," 8,39"
"138",2004,"AL","28312","Paulo Jacinto","Vereador"," 8,40"," 8,33"
"139",2004,"AL","28339","Penedo","Vereador"," 8,61"," 8,58"
"140",2004,"AL","28355","Piacabucu","Vereador"," 8,29"," 8,28"
"141",2004,"AL","28371","Pilar","Vereador"," 5,68"," 5,71"
"142",2004,"AL","28398","Pindoba","Vereador"," 4,03"," 4,00"
"143",2004,"AL","28410","Piranhas","Vereador"," 5,49"," 5,50"
"144",2004,"AL","28436","Poco Das Trincheiras","Vereador"," 4,00"," 4,00"
"145",2004,"AL","28452","Porto Calvo","Vereador"," 9,46"," 9,50"
"146",2004,"AL","28479","Porto De Pedras","Vereador"," 7,83"," 7,89"
"147",2004,"AL","28495","Porto Real Do Colegio","Vereador"," 6,00"," 6,00"
"148",2004,"AL","28517","Quebrangulo","Vereador"," 4,59"," 4,56"
"149",2004,"AL","28533","Rio Largo","Vereador","11,00","11,00"
"150",2004,"AL","28550","Roteiro","Vereador"," 4,98"," 5,00"
"151",2004,"AL","28576","Santa Luzia Do Norte","Vereador"," 5,59"," 5,61"
"152",2004,"AL","28592","Santana Do Ipanema","Vereador","11,06","11,00"
"153",2004,"AL","28614","Santana Do Mundau","Vereador"," 7,34"," 7,33"
"154",2004,"AL","28630","Sao Bras","Vereador"," 4,07"," 4,06"
"155",2004,"AL","28657","Sao Jose Da Laje","Vereador"," 6,40"," 6,45"
"156",2004,"AL","28673","Sao Jose Da Tapera","Vereador"," 6,88"," 6,83"
"157",2004,"AL","28690","Sao Luis Do Quitunde","Vereador","10,50","10,50"
"158",2004,"AL","28711","Sao Miguel Dos Campos","Vereador"," 8,97"," 8,94"
"159",2004,"AL","28738","Sao Miguel Dos Milagres","Vereador"," 6,04"," 6,06"
"160",2004,"AL","28754","Sao Sebastiao","Vereador"," 5,64"," 5,64"
"161",2004,"AL","28770","Satuba","Vereador"," 8,47"," 8,50"
"162",2004,"AL","28797","Tanque D Arca","Vereador"," 4,93"," 4,94"
