"UF";"Cargo";"Votos válidos";"Vagas";"Quociente eleitoral (QE)";"Coligação";"Votos válidos coligação";"Vagas QP";"Eleitos por QP";"Eleitos por média"
"AC";"Deputado Federal";"424991";"8";"53124";"PP / PSDB / PSD / MDB / DEM / SOLIDARIEDADE / PTC / PMN / PR / PTB / PPS";"218096";"4";"4";"1"
"AC";"Deputado Federal";"424991";"8";"53124";"PT / PSB / PHS / PC do B / DC";"77945";"1";"1";"0"
"AC";"Deputado Federal";"424991";"8";"53124";"PSOL / PV / PPL / PRP / PRB / PODE / PROS / PMB";"42546";"0";"0";"1"
"AC";"Deputado Federal";"424991";"8";"53124";"PDT";"41989";"0";"0";"1"
"AC";"Deputado Federal";"424991";"8";"53124";"PSL / PATRI / PSC";"37363";"0";"0";"0"
"AC";"Deputado Federal";"424991";"8";"53124";"REDE";"6182";"0";"0";"0"
"AC";"Deputado Federal";"424991";"8";"53124";"AVANTE";"530";"0";"0";"0"
"AC";"Deputado Federal";"424991";"8";"53124";"PRTB";"340";"0";"0";"0"
"AC";"Deputado Estadual";"424011";"24";"17667";"PT / PC do B";"61337";"3";"3";"1"
"AC";"Deputado Estadual";"424011";"24";"17667";"PP / PMN / PPS / PTC / PR";"57127";"3";"3";"1"
"AC";"Deputado Estadual";"424011";"24";"17667";"PSD / MDB";"49144";"2";"2";"1"
"AC";"Deputado Estadual";"424011";"24";"17667";"PSDB / DEM";"45945";"2";"2";"1"
"AC";"Deputado Estadual";"424011";"24";"17667";"PROS / PODE / PRB";"45519";"2";"2";"1"
"AC";"Deputado Estadual";"424011";"24";"17667";"PSOL / PV / PRP / PPL";"27782";"1";"1";"0"
"AC";"Deputado Estadual";"424011";"24";"17667";"PDT";"26586";"1";"1";"0"
"AC";"Deputado Estadual";"424011";"24";"17667";"SOLIDARIEDADE";"20877";"1";"1";"0"
"AC";"Deputado Estadual";"424011";"24";"17667";"PSB";"19969";"1";"1";"0"
"AC";"Deputado Estadual";"424011";"24";"17667";"PSL / PATRI / PSC";"19548";"1";"1";"0"
"AC";"Deputado Estadual";"424011";"24";"17667";"PMB / PHS";"19065";"1";"1";"0"
"AC";"Deputado Estadual";"424011";"24";"17667";"PTB";"17698";"1";"1";"0"
"AC";"Deputado Estadual";"424011";"24";"17667";"DC / PRTB";"7250";"0";"0";"0"
"AC";"Deputado Estadual";"424011";"24";"17667";"REDE";"6164";"0";"0";"0"
"AL";"Deputado Federal";"1458674";"9";"162075";"MDB / PPS / PDT / PR / PTB / PT / PRTB / PODE / PRP / PSD / PMN / AVANTE";"699042";"4";"4";"1"
"AL";"Deputado Federal";"1458674";"9";"162075";"PTC / PSDB / PP / PSB / PSC / PROS / PRB / DEM";"610520";"3";"3";"1"
