"","UF","CARGO","VAGAS"
"1","AC","DEPUTADO FEDERAL","8"
"2","AL","DEPUTADO FEDERAL","9"
"3","AM","DEPUTADO FEDERAL","8"
"4","AP","DEPUTADO FEDERAL","8"
"5","BA","DEPUTADO FEDERAL","39"
"6","CE","DEPUTADO FEDERAL","22"
"7","DF","DEPUTADO FEDERAL","8"
"8","ES","DEPUTADO FEDERAL","10"
"9","GO","DEPUTADO FEDERAL","17"
"10","MA","DEPUTADO FEDERAL","18"
"11","MG","DEPUTADO FEDERAL","53"
"12","MS","DEPUTADO FEDERAL","8"
"13","MT","DEPUTADO FEDERAL","8"
"14","PA","DEPUTADO FEDERAL","17"
"15","PB","DEPUTADO FEDERAL","12"
"16","PE","DEPUTADO FEDERAL","25"
"17","PI","DEPUTADO FEDERAL","10"
"18","PR","DEPUTADO FEDERAL","30"
"19","RJ","DEPUTADO FEDERAL","46"
"20","RN","DEPUTADO FEDERAL","8"
"21","RO","DEPUTADO FEDERAL","8"
"22","RR","DEPUTADO FEDERAL","8"
"23","RS","DEPUTADO FEDERAL","31"
"24","SC","DEPUTADO FEDERAL","16"
"25","SE","DEPUTADO FEDERAL","8"
"26","SP","DEPUTADO FEDERAL","70"
"27","TO","DEPUTADO FEDERAL","8"
